,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2019-05-03,Dan Straily,BAL,21.2,101,4.6,3.3,1.4,2.5,10.9%,7.9%,3.0%,.308,1.66,.289,76.1%,6.81,6.62
1,2019-05-03,David Hess,BAL,22.0,100,4.9,2.5,2.0,3.3,12.0%,6.0%,6.0%,.298,1.55,.270,57.0%,7.57,6.37
2,2019-05-03,Aaron Sanchez,TOR,30.0,133,6.9,5.7,1.2,0.9,17.3%,14.3%,3.0%,.243,1.53,.279,70.8%,4.99,5.35
3,2019-05-03,Clay Buchholz,TOR,20.2,88,4.8,2.2,2.2,1.3,12.5%,5.7%,6.8%,.293,1.40,.304,72.6%,4.67,5.10
4,2019-05-03,Dylan Bundy,BAL,24.2,111,9.9,2.9,3.4,3.3,24.3%,7.2%,17.1%,.286,1.46,.297,72.0%,7.01,4.96
5,2019-05-03,J.A. Happ,NYY,28.2,119,6.6,2.2,3.0,1.6,17.6%,5.9%,11.8%,.250,1.22,.267,78.6%,4.65,4.90
6,2019-05-03,CC Sabathia,NYY,20.1,82,7.1,2.7,2.7,1.8,19.5%,7.3%,12.2%,.200,1.03,.196,84.4%,4.99,4.70
7,2019-05-03,Rick Porcello,BOS,28.1,126,7.9,4.1,1.9,1.3,19.8%,10.3%,9.5%,.273,1.52,.313,75.5%,4.67,4.66
8,2019-05-03,Masahiro Tanaka,NYY,26.2,111,8.1,4.0,2.0,2.0,21.6%,10.8%,10.8%,.253,1.39,.275,73.4%,5.59,4.47
9,2019-05-03,Andrew Cashner,BAL,26.1,114,7.5,2.7,2.8,1.7,19.3%,7.0%,12.3%,.264,1.37,.291,72.4%,4.83,4.39
10,2019-05-03,Trent Thornton,TOR,30.1,127,8.9,4.2,2.1,1.5,23.6%,11.0%,12.6%,.230,1.32,.269,72.7%,4.67,4.29
11,2019-05-03,Marcus Stroman,TOR,28.1,122,8.6,3.5,2.5,0.0,22.1%,9.0%,13.1%,.202,1.16,.262,63.6%,2.38,3.94
12,2019-05-03,Domingo German,NYY,24.2,96,7.7,1.5,5.3,0.7,21.9%,4.2%,17.7%,.185,0.85,.217,60.4%,2.96,3.85
13,2019-05-03,Eduardo Rodriguez,BOS,26.1,115,10.3,3.1,3.3,1.0,26.1%,7.8%,18.3%,.260,1.37,.333,61.0%,3.46,3.80
14,2019-05-03,Charlie Morton,TBR,28.1,118,10.8,4.1,2.6,0.6,28.8%,11.0%,17.8%,.186,1.13,.258,80.8%,3.33,3.65
15,2019-05-03,David Price,BOS,30.0,117,9.9,2.4,4.1,0.6,28.2%,6.8%,21.4%,.239,1.13,.324,73.7%,2.59,3.38
16,2019-05-03,James Paxton,NYY,32.0,134,13.2,3.4,3.9,0.8,35.1%,9.0%,26.1%,.235,1.25,.352,76.1%,2.62,3.13
17,2019-05-03,Tyler Glasnow,TBR,38.0,140,9.9,1.4,7.0,0.5,30.0%,4.3%,25.7%,.180,0.79,.244,88.2%,2.07,2.94
18,2019-05-03,Chris Sale,BOS,27.0,114,12.3,2.3,5.3,1.0,32.5%,6.1%,26.3%,.252,1.22,.354,64.9%,2.82,2.88
0,2019-05-03,Brad Keller,KCR,29.0,129,6.2,5.6,1.1,0.9,15.5%,14.0%,1.6%,.234,1.48,.259,71.8%,5.26,5.50
1,2019-05-03,Jake Odorizzi,MIN,23.2,99,7.2,3.4,2.1,0.4,19.2%,9.1%,10.1%,.239,1.27,.290,67.6%,3.33,5.43
2,2019-05-03,Michael Pineda,MIN,25.0,114,6.1,1.8,3.4,2.2,14.9%,4.4%,10.5%,.340,1.64,.353,65.5%,5.60,5.14
3,2019-05-03,Reynaldo Lopez,CHW,32.1,147,12.0,4.5,2.7,2.5,29.3%,10.9%,18.4%,.292,1.67,.367,70.0%,5.56,4.80
4,2019-05-03,Ivan Nova,CHW,24.1,119,7.0,2.6,2.7,2.2,16.0%,5.9%,10.1%,.382,2.01,.419,52.9%,5.75,4.67
5,2019-05-03,Jose Berrios,MIN,31.2,130,9.1,2.0,4.6,1.7,24.6%,5.4%,19.2%,.233,1.11,.265,87.4%,4.41,4.57
6,2019-05-03,Martin Perez,MIN,26.0,102,6.2,1.7,3.6,0.7,17.6%,4.9%,12.8%,.242,1.08,.276,87.8%,3.43,4.56
7,2019-05-03,Spencer Turnbull,DET,27.0,116,8.7,3.7,2.4,0.3,22.4%,9.5%,12.9%,.220,1.22,.284,81.5%,3.34,4.36
8,2019-05-03,Jakob Junis,KCR,33.0,146,7.6,3.0,2.5,1.1,19.2%,7.5%,11.6%,.288,1.48,.337,68.3%,4.18,4.34
9,2019-05-03,Jorge Lopez,KCR,35.2,155,8.1,3.3,2.5,1.3,20.6%,8.4%,12.3%,.254,1.35,.294,68.2%,4.49,4.33
10,2019-05-03,Corey Kluber,CLE,25.1,120,10.3,3.9,2.6,1.4,24.2%,9.2%,15.0%,.305,1.70,.378,68.5%,4.42,4.26
11,2019-05-03,Carlos Rodon,CHW,23.1,112,12.0,5.8,2.1,1.5,27.7%,13.4%,14.3%,.292,1.84,.387,66.8%,4.62,4.21
12,2019-05-03,Tyson Ross,DET,24.0,101,6.8,3.0,2.3,0.8,17.8%,7.9%,9.9%,.261,1.33,.301,61.6%,3.70,4.16
13,2019-05-03,Homer Bailey,KCR,25.0,103,7.9,3.2,2.4,1.1,21.4%,8.7%,12.6%,.239,1.24,.275,56.0%,4.00,4.14
14,2019-05-03,Shane Bieber,CLE,35.0,144,10.3,3.1,3.3,1.3,27.8%,8.3%,19.4%,.183,1.03,.221,76.7%,3.81,4.00
15,2019-05-03,Matthew Boyd,DET,33.0,130,9.3,1.9,4.9,0.5,26.2%,5.4%,20.8%,.197,0.91,.250,72.9%,2.76,3.87
16,2019-05-03,Trevor Bauer,CLE,40.2,166,10.2,4.9,2.1,0.9,27.7%,13.3%,14.5%,.184,1.18,.239,85.6%,3.91,3.85
17,2019-05-03,Kyle Gibson,MIN,28.0,118,8.7,2.6,3.4,1.3,22.9%,6.8%,16.1%,.236,1.18,.273,68.0%,4.12,3.65
18,2019-05-03,Carlos Carrasco,CLE,23.1,99,14.3,2.3,6.2,1.2,37.4%,6.1%,31.3%,.256,1.24,.385,69.8%,2.52,2.82
0,2019-05-03,Shelby Miller,TEX,20.0,98,5.0,6.8,0.7,1.8,11.2%,15.3%,-4.1%,.275,1.85,.269,55.6%,7.02,7.19
1,2019-05-03,Aaron Brooks,OAK,25.1,115,6.8,3.2,2.1,2.8,16.5%,7.8%,8.7%,.283,1.54,.279,64.8%,6.79,5.38
2,2019-05-03,Brett Anderson,OAK,31.0,142,5.2,3.5,1.5,0.3,12.7%,8.5%,4.2%,.280,1.52,.312,67.2%,3.73,5.04
3,2019-05-03,Mike Leake,SEA,28.1,129,7.0,1.6,4.4,3.2,17.1%,3.9%,13.2%,.311,1.52,.311,77.4%,6.90,4.85
4,2019-05-03,Wade Miley,HOU,27.1,112,5.6,2.3,2.4,1.0,15.2%,6.3%,8.9%,.221,1.10,.238,82.1%,4.18,4.78
5,2019-05-03,Mike Fiers,OAK,22.0,106,8.2,2.5,3.3,2.9,18.9%,5.7%,13.2%,.358,1.82,.375,57.7%,6.39,4.77
6,2019-05-03,Lance Lynn,TEX,29.0,126,8.7,3.4,2.5,0.6,22.2%,8.7%,13.5%,.265,1.41,.337,72.1%,3.43,4.70
7,2019-05-03,Collin McHugh,HOU,33.0,137,8.2,2.7,3.0,1.9,21.9%,7.3%,14.6%,.215,1.09,.218,65.1%,5.24,4.61
8,2019-05-03,Matt Harvey,LAA,25.2,115,7.0,3.5,2.0,1.4,17.4%,8.7%,8.7%,.270,1.44,.291,50.9%,4.99,4.40
