,Date,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
0,2019-05-04,HOU,252,1012,889,249,146,52,3,48,146,144,101,2,196,8,12,2,24,9,3,.280
1,2019-05-04,STL,310,1030,903,247,164,52,2,29,139,130,99,6,213,13,6,9,19,19,6,.274
2,2019-05-04,ATL,295,1058,932,248,156,48,7,37,137,134,102,7,226,10,8,4,14,7,3,.266
3,2019-05-04,TBR,260,1016,893,235,139,49,13,34,127,124,103,3,230,11,8,1,30,14,7,.263
4,2019-05-04,ARI,295,1020,916,240,137,61,6,36,139,133,81,5,225,13,5,4,16,8,3,.262
5,2019-05-04,NYY,251,964,846,220,138,41,1,40,139,131,92,2,208,11,9,7,22,15,1,.260
6,2019-05-04,CHW,258,992,897,233,154,44,2,33,125,120,81,3,258,11,2,1,19,20,6,.260
7,2019-05-04,LAA,261,994,867,222,139,42,3,38,137,131,103,9,152,12,8,1,27,13,3,.256
8,2019-05-04,DET,205,829,748,191,118,49,3,21,87,82,65,2,210,10,6,0,11,8,5,.255
9,2019-05-04,MIN,257,963,873,222,113,49,5,55,141,134,74,1,184,7,6,2,18,7,3,.254
10,2019-05-04,BOS,257,998,864,219,138,48,0,33,133,127,108,8,202,11,10,4,29,12,6,.253
11,2019-05-04,WSN,292,1015,898,226,147,37,3,39,129,121,94,4,252,10,6,7,21,14,4,.252
12,2019-05-04,TEX,234,950,837,209,121,48,6,34,134,127,93,3,235,9,4,5,18,22,6,.250
13,2019-05-04,KCR,272,1065,938,233,135,49,14,35,132,128,105,6,247,9,12,1,20,29,13,.248
14,2019-05-04,OAK,247,960,854,212,136,43,3,30,125,119,86,1,190,12,8,0,14,7,7,.248
15,2019-05-04,LAD,319,1061,917,227,143,39,8,37,131,127,111,5,237,10,12,11,20,9,3,.248
16,2019-05-04,MIL,319,1076,963,238,149,37,1,51,141,139,94,7,275,11,4,1,25,14,4,.247
17,2019-05-04,PHI,313,1065,936,231,140,56,4,31,126,122,104,6,243,13,5,7,19,5,3,.247
18,2019-05-04,COL,310,1068,952,234,130,54,11,39,141,136,89,4,254,7,10,10,14,14,7,.246
19,2019-05-04,NYM,310,1035,908,222,144,43,3,32,117,113,100,6,247,16,4,7,17,12,6,.244
20,2019-05-04,CHC,266,944,816,199,111,48,2,38,134,130,99,9,230,19,8,2,12,10,4,.244
21,2019-05-04,BAL,265,1017,926,224,147,42,6,29,110,100,73,3,219,9,5,4,15,13,3,.242
22,2019-05-04,TOR,248,945,857,207,134,45,2,26,107,101,70,3,260,5,6,7,16,8,2,.242
23,2019-05-04,SEA,266,1052,929,223,126,46,3,48,138,135,104,0,279,9,8,1,11,16,4,.240
24,2019-05-04,PIT,286,921,845,199,129,43,5,22,85,82,59,8,224,5,1,11,9,8,4,.236
25,2019-05-04,CLE,252,922,811,182,120,34,0,28,101,90,91,5,232,10,4,6,16,21,5,.224
26,2019-05-04,SDP,299,984,893,199,115,38,3,43,105,101,68,0,270,10,6,7,26,9,5,.223
27,2019-05-04,SFG,290,959,871,194,124,45,3,22,95,94,70,5,225,5,9,4,13,9,5,.223
28,2019-05-04,CIN,315,995,885,197,118,33,2,44,119,116,86,6,239,11,6,7,19,12,10,.223
29,2019-05-04,MIA,277,906,817,175,134,25,0,16,64,61,67,0,233,10,6,6,24,8,5,.214
