,Date,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
0,2019-05-06,BAL,236.2,1052,5.78,256,58,3,168,152,59,84,2,16,200,.272,.339,.528,.363
1,2019-05-06,CHW,227.0,1032,5.51,251,44,3,149,139,41,114,6,7,231,.280,.362,.473,.355
2,2019-05-06,SEA,240.2,1051,4.82,255,62,4,150,129,46,82,4,9,230,.269,.330,.488,.345
3,2019-05-06,DET,194.2,857,5.09,209,45,2,117,110,26,84,4,10,181,.278,.355,.446,.344
4,2019-05-06,LAA,225.0,996,5.44,220,40,6,141,136,44,106,2,12,217,.253,.340,.465,.343
5,2019-05-06,TEX,208.1,921,5.18,209,47,3,126,120,31,98,2,13,188,.262,.349,.445,.341
6,2019-05-06,KCR,255.0,1106,4.94,259,47,7,142,140,39,98,3,16,222,.264,.338,.445,.335
7,2019-05-06,OAK,213.1,951,5.32,223,41,6,135,126,33,82,4,10,199,.265,.334,.446,.332
8,2019-05-06,MIA,224.0,969,4.98,209,45,2,129,124,38,102,9,13,224,.249,.337,.442,.332
9,2019-05-06,COL,240.1,1036,4.83,238,50,5,132,129,37,93,6,6,210,.259,.328,.445,.328
10,2019-05-06,NYM,245.1,1076,5.06,236,53,5,148,138,36,110,8,10,252,.251,.333,.432,.327
11,2019-05-06,MIL,253.0,1087,4.55,244,37,3,136,128,42,106,5,7,238,.254,.331,.429,.326
12,2019-05-06,PHI,248.2,1070,4.09,262,33,5,124,113,36,80,8,11,237,.272,.332,.429,.324
13,2019-05-06,SFG,236.0,992,4.69,212,34,5,127,123,41,82,3,13,236,.240,.313,.428,.318
14,2019-05-06,MIN,227.0,969,4.16,220,39,0,114,105,32,79,1,12,216,.253,.322,.409,.316
15,2019-05-06,WSN,240.0,1046,4.69,231,56,4,135,125,29,90,6,12,268,.248,.320,.410,.313
16,2019-05-06,ATL,241.0,1059,4.18,225,46,2,131,112,28,106,6,15,250,.245,.330,.390,.313
17,2019-05-06,TOR,222.1,951,4.17,195,49,4,117,103,31,100,8,6,185,.233,.318,.412,.312
18,2019-05-06,CLE,219.0,925,4.11,199,45,2,105,100,32,78,2,7,235,.240,.309,.414,.310
19,2019-05-06,PIT,215.0,918,4.10,207,44,8,114,98,24,71,3,8,207,.250,.313,.409,.310
20,2019-05-06,STL,236.0,985,4.16,202,35,5,113,109,42,82,6,12,247,.229,.302,.423,.309
21,2019-05-06,NYY,230.1,964,4.06,195,38,3,110,104,36,90,2,4,242,.226,.300,.403,.302
22,2019-05-06,ARI,237.0,990,3.65,206,56,5,103,96,27,80,5,13,244,.232,.304,.398,.302
23,2019-05-06,BOS,232.1,961,3.83,193,45,6,107,99,27,89,1,11,265,.226,.306,.387,.301
24,2019-05-06,LAD,243.1,1000,3.99,203,39,7,117,108,33,72,3,14,253,.226,.290,.394,.293
25,2019-05-06,SDP,242.0,1008,3.72,206,43,3,108,100,33,74,1,9,245,.225,.288,.387,.291
26,2019-05-06,CIN,239.1,980,3.57,201,45,4,97,95,25,81,10,11,264,.229,.301,.375,.290
27,2019-05-06,HOU,229.0,927,3.97,180,41,4,105,101,36,66,0,6,230,.213,.272,.399,.286
28,2019-05-06,TBR,225.0,904,3.20,177,39,6,85,80,24,73,6,6,245,.216,.283,.367,.279
29,2019-05-06,CHC,220.0,898,2.70,167,26,3,71,66,19,83,2,8,224,.210,.289,.321,.270
