,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2019-05-06,BAL,130.0,575,6.5,2.4,2.8,2.5,16.4%,5.9%,10.4%,.277,1.38,.272,68.1%,6.24,5.35
1,2019-05-06,TEX,115.0,508,8.4,4.5,1.9,1.3,21.1%,11.2%,9.8%,.261,1.50,.306,69.2%,4.71,5.14
2,2019-05-06,TOR,123.1,541,6.7,4.2,1.6,1.3,17.0%,10.5%,6.5%,.259,1.47,.285,65.9%,4.98,4.96
3,2019-05-06,LAA,104.0,459,7.4,4.1,1.8,2.1,18.7%,10.2%,8.5%,.259,1.45,.270,69.7%,6.02,4.94
4,2019-05-06,MIL,134.2,593,7.3,3.7,2.0,1.7,18.4%,9.3%,9.1%,.286,1.52,.312,74.9%,5.37,4.92
5,2019-05-06,CHW,125.0,585,9.4,4.0,2.4,2.0,22.4%,9.4%,13.0%,.321,1.78,.377,66.0%,5.33,4.79
6,2019-05-06,OAK,120.2,543,7.6,2.9,2.6,1.6,18.8%,7.2%,11.6%,.273,1.43,.299,63.4%,4.94,4.69
7,2019-05-06,KCR,157.1,691,7.1,3.7,1.9,1.4,17.9%,9.3%,8.7%,.268,1.44,.297,70.0%,4.98,4.67
8,2019-05-06,MIN,152.2,633,7.8,2.5,3.2,1.2,21.0%,6.6%,14.4%,.251,1.22,.288,77.8%,4.15,4.57
9,2019-05-06,MIA,141.1,591,8.3,3.7,2.3,1.1,22.2%,9.8%,12.3%,.236,1.27,.276,74.2%,4.32,4.57
10,2019-05-06,PHI,153.1,654,8.2,3.0,2.7,1.4,21.3%,7.8%,13.5%,.270,1.37,.312,77.1%,4.37,4.44
11,2019-05-06,DET,118.0,501,7.8,3.1,2.5,1.0,20.4%,8.2%,12.2%,.260,1.33,.305,70.6%,4.07,4.43
12,2019-05-06,SEA,143.1,615,7.5,2.1,3.6,1.8,19.4%,5.4%,14.0%,.282,1.35,.309,70.1%,4.82,4.42
13,2019-05-06,PIT,134.0,565,7.7,2.6,2.9,0.9,20.3%,6.9%,13.5%,.249,1.24,.292,64.6%,3.72,4.39
14,2019-05-06,ATL,142.0,628,8.7,3.2,2.7,1.3,21.8%,8.1%,13.7%,.255,1.35,.296,66.9%,4.35,4.39
15,2019-05-06,SFG,134.1,574,8.7,3.1,2.8,1.9,22.7%,8.0%,14.6%,.261,1.34,.288,68.6%,5.15,4.33
16,2019-05-06,NYY,143.0,587,8.5,2.9,2.9,1.4,23.0%,7.8%,15.2%,.224,1.16,.255,76.6%,4.35,4.31
17,2019-05-06,NYM,143.0,622,9.2,3.6,2.6,1.3,23.5%,9.2%,14.3%,.255,1.38,.303,67.2%,4.31,4.27
18,2019-05-06,STL,146.1,622,8.0,2.9,2.8,1.7,20.9%,7.6%,13.3%,.252,1.28,.276,77.0%,4.96,4.26
19,2019-05-06,SDP,151.2,628,8.3,2.4,3.4,0.9,22.3%,6.5%,15.8%,.229,1.14,.272,72.0%,3.58,4.20
20,2019-05-06,COL,143.2,625,8.0,3.3,2.4,1.7,20.3%,8.3%,12.0%,.278,1.44,.308,68.5%,4.97,4.18
21,2019-05-06,HOU,151.1,616,9.3,2.4,3.8,1.7,25.5%,6.7%,18.8%,.219,1.09,.247,71.7%,4.45,4.00
22,2019-05-06,ARI,148.2,618,9.1,2.9,3.1,1.0,24.4%,7.8%,16.7%,.238,1.22,.291,73.2%,3.65,3.97
23,2019-05-06,CLE,137.1,582,10.2,3.2,3.2,1.4,26.8%,8.4%,18.4%,.240,1.27,.294,72.9%,4.13,3.91
24,2019-05-06,LAD,153.1,625,9.1,2.5,3.6,1.4,24.8%,6.9%,17.9%,.233,1.15,.274,73.6%,3.97,3.84
25,2019-05-06,CIN,148.0,605,9.8,3.0,3.3,1.0,26.6%,8.1%,18.5%,.229,1.17,.290,75.5%,3.51,3.73
26,2019-05-06,WSN,160.2,685,10.3,2.9,3.6,1.1,26.7%,7.4%,19.3%,.245,1.27,.312,69.3%,3.41,3.72
27,2019-05-06,BOS,135.0,553,10.1,3.0,3.4,0.9,27.5%,8.1%,19.4%,.235,1.20,.306,73.3%,3.35,3.66
28,2019-05-06,CHC,140.1,569,8.9,2.6,3.4,0.8,24.3%,7.2%,17.1%,.215,1.08,.263,77.6%,3.34,3.56
29,2019-05-06,TBR,113.2,441,9.7,2.4,4.1,1.0,27.9%,6.8%,21.1%,.202,0.99,.257,81.7%,3.25,3.52
