,Date,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,Handedness
0,2019-05-06,HOU,174,12.1%,23.0%,0.5,.298,.379,.517,.896,.219,.358,30,9.1,.379,144,Vs. L
1,2019-05-06,WSN,232,6.9%,25.0%,0.3,.297,.355,.552,.907,.255,.350,41,12.2,.380,137,Vs. L
2,2019-05-06,NYM,175,10.3%,28.6%,0.4,.275,.360,.471,.831,.196,.367,27,5.8,.356,128,Vs. L
3,2019-05-06,OAK,196,10.2%,17.3%,0.6,.284,.362,.485,.847,.201,.305,31,6.7,.356,127,Vs. L
4,2019-05-06,ATL,270,10.4%,18.9%,0.5,.280,.360,.487,.847,.208,.310,43,9.7,.359,124,Vs. L
5,2019-05-06,ARI,297,6.1%,19.5%,0.3,.281,.330,.507,.837,.226,.309,45,8.9,.352,119,Vs. L
6,2019-05-06,NYY,138,10.1%,20.3%,0.5,.292,.370,.442,.812,.150,.360,20,3.6,.353,118,Vs. L
7,2019-05-06,MIN,150,8.0%,23.3%,0.3,.254,.320,.515,.835,.261,.272,22,4.1,.349,117,Vs. L
8,2019-05-06,CIN,218,10.1%,22.9%,0.4,.240,.326,.490,.815,.250,.254,32,5.1,.344,113,Vs. L
9,2019-05-06,CHC,177,9.0%,26.0%,0.3,.242,.318,.484,.802,.242,.275,24,2.8,.337,109,Vs. L
10,2019-05-06,STL,200,11.5%,20.5%,0.6,.249,.345,.399,.744,.150,.291,26,1.5,.324,105,Vs. L
11,2019-05-06,TBR,260,12.3%,30.8%,0.4,.249,.346,.391,.737,.142,.357,33,1.2,.322,104,Vs. L
12,2019-05-06,CHW,338,5.6%,25.7%,0.2,.268,.320,.401,.721,.134,.350,40,-1.1,.312,96,Vs. L
13,2019-05-06,PHI,264,8.3%,22.7%,0.4,.243,.314,.426,.740,.183,.296,32,-0.4,.316,96,Vs. L
14,2019-05-06,MIL,296,8.1%,23.6%,0.3,.239,.307,.429,.737,.190,.274,36,-0.3,.315,94,Vs. L
15,2019-05-06,LAD,343,11.1%,22.4%,0.5,.227,.314,.397,.710,.170,.266,39,-3.0,.306,94,Vs. L
16,2019-05-06,SEA,247,11.7%,27.5%,0.4,.221,.320,.362,.681,.141,.291,27,-3.5,.299,91,Vs. L
17,2019-05-06,SDP,178,5.1%,26.4%,0.2,.221,.271,.423,.694,.202,.248,18,-3.6,.294,84,Vs. L
18,2019-05-06,DET,145,9.0%,31.0%,0.3,.217,.297,.380,.676,.163,.287,15,-2.7,.294,83,Vs. L
19,2019-05-06,COL,364,7.4%,25.8%,0.3,.246,.306,.438,.744,.191,.311,44,-0.5,.316,82,Vs. L
20,2019-05-06,LAA,305,9.5%,15.4%,0.6,.209,.293,.366,.658,.157,.215,29,-7.8,.286,81,Vs. L
21,2019-05-06,BAL,287,5.9%,25.4%,0.2,.248,.301,.368,.669,.120,.321,28,-7.1,.287,78,Vs. L
22,2019-05-06,KCR,322,10.6%,25.2%,0.4,.219,.304,.355,.659,.136,.278,31,-8.5,.284,75,Vs. L
23,2019-05-06,TOR,287,7.3%,25.8%,0.3,.242,.296,.350,.646,.108,.319,27,-8.5,.281,74,Vs. L
24,2019-05-06,BOS,250,8.4%,23.2%,0.4,.209,.282,.377,.660,.168,.241,22,-8.1,.279,67,Vs. L
25,2019-05-06,TEX,180,11.7%,28.9%,0.4,.188,.292,.331,.623,.143,.245,16,-6.0,.277,65,Vs. L
26,2019-05-06,SFG,339,6.2%,26.5%,0.2,.219,.267,.333,.600,.114,.280,24,-17.3,.257,59,Vs. L
27,2019-05-06,PIT,320,4.4%,29.7%,0.1,.228,.262,.326,.587,.097,.310,22,-17.4,.255,56,Vs. L
28,2019-05-06,CLE,253,8.3%,27.3%,0.3,.209,.278,.304,.582,.096,.276,18,-12.4,.257,55,Vs. L
29,2019-05-06,MIA,169,6.5%,23.7%,0.3,.183,.238,.229,.467,.046,.235,5,-15.2,.211,31,Vs. L
