,#,Date,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,Handedness
0,2019,2019-05-02,122.2,547,6.9,2.4,2.8,2.9,17.2%,6.0%,11.2%,.288,1.45,.283,69.5%,6.68,5.23,Vs. R
1,2019,2019-05-02,118.0,525,8.3,4.4,1.9,1.4,20.8%,11.1%,9.7%,.258,1.49,.297,70.8%,5.00,5.20,Vs. R
2,2019,2019-05-02,124.1,569,7.2,3.3,2.2,1.8,17.6%,7.9%,9.7%,.287,1.54,.309,64.4%,5.38,4.96,Vs. R
3,2019,2019-05-02,128.2,575,7.8,3.8,2.0,2.0,19.5%,9.6%,9.9%,.287,1.56,.314,72.4%,5.59,4.86,Vs. R
4,2019,2019-05-02,140.0,590,7.1,2.4,3.0,1.4,18.8%,6.3%,12.5%,.262,1.28,.292,73.9%,4.41,4.75,Vs. R
5,2019,2019-05-02,111.0,488,8.1,4.0,2.0,1.9,20.5%,10.0%,10.4%,.262,1.45,.288,72.2%,5.53,4.63,Vs. R
6,2019,2019-05-02,121.0,561,9.9,4.2,2.3,2.0,23.7%,10.2%,13.6%,.303,1.71,.360,66.0%,5.29,4.63,Vs. R
7,2019,2019-05-02,150.2,656,7.4,3.6,2.0,1.2,18.9%,9.3%,9.6%,.263,1.41,.299,68.0%,4.60,4.62,Vs. R
8,2019,2019-05-02,126.2,546,7.7,4.0,1.9,1.0,20.0%,10.3%,9.7%,.242,1.37,.283,69.7%,4.24,4.56,Vs. R
9,2019,2019-05-02,146.1,632,7.6,2.8,2.7,1.5,19.6%,7.3%,12.3%,.283,1.42,.317,76.4%,4.70,4.53,Vs. R
10,2019,2019-05-02,135.0,573,8.3,3.6,2.3,1.2,21.8%,9.4%,12.4%,.243,1.31,.285,73.0%,4.36,4.53,Vs. R
11,2019,2019-05-02,130.2,574,7.6,1.9,4.1,1.8,19.2%,4.7%,14.5%,.295,1.42,.325,69.0%,4.76,4.33,Vs. R
12,2019,2019-05-02,139.1,604,8.1,3.2,2.6,1.7,20.7%,8.1%,12.6%,.256,1.35,.285,82.0%,4.96,4.32,Vs. R
13,2019,2019-05-02,143.2,586,7.8,2.3,3.4,0.9,21.2%,6.3%,14.8%,.232,1.12,.271,69.4%,3.67,4.28,Vs. R
14,2019,2019-05-02,144.2,624,7.8,3.4,2.3,1.4,20.0%,8.8%,11.2%,.276,1.43,.309,71.0%,4.69,4.21,Vs. R
15,2019,2019-05-02,137.1,592,9.8,4.0,2.4,1.2,25.2%,10.3%,14.9%,.241,1.35,.295,68.0%,4.10,4.21,Vs. R
16,2019,2019-05-02,118.0,496,8.5,3.2,2.6,0.9,22.4%,8.5%,13.9%,.248,1.29,.301,71.5%,3.78,4.18,Vs. R
17,2019,2019-05-02,147.0,628,8.8,2.9,3.0,1.3,22.8%,7.6%,15.1%,.254,1.29,.295,70.0%,4.27,4.14,Vs. R
18,2019,2019-05-02,136.1,559,9.0,2.8,3.2,1.4,24.5%,7.7%,16.8%,.227,1.17,.266,75.0%,4.08,4.12,Vs. R
19,2019,2019-05-02,142.0,583,8.4,2.5,3.4,1.0,22.8%,6.7%,16.1%,.221,1.11,.263,72.1%,3.53,4.12,Vs. R
20,2019,2019-05-02,135.1,563,9.0,2.9,3.1,1.3,24.2%,7.8%,16.3%,.241,1.22,.282,71.8%,4.12,4.08,Vs. R
21,2019,2019-05-02,150.1,610,9.3,2.8,3.4,1.4,25.6%,7.5%,18.0%,.211,1.08,.247,71.2%,4.04,4.03,Vs. R
22,2019,2019-05-02,142.0,587,9.0,3.2,2.8,1.0,24.2%,8.7%,15.5%,.230,1.21,.280,77.3%,3.73,3.98,Vs. R
23,2019,2019-05-02,133.0,561,9.5,3.5,2.7,1.0,25.0%,9.1%,15.9%,.254,1.34,.319,68.3%,3.73,3.96,Vs. R
24,2019,2019-05-02,146.2,598,8.8,2.8,3.2,1.2,23.9%,7.5%,16.4%,.231,1.16,.273,75.1%,3.84,3.93,Vs. R
25,2019,2019-05-02,137.2,586,10.7,3.7,2.9,1.0,28.0%,9.6%,18.4%,.224,1.25,.291,73.3%,3.60,3.81,Vs. R
26,2019,2019-05-02,155.1,658,9.8,2.8,3.5,1.2,25.8%,7.4%,18.4%,.245,1.27,.306,70.3%,3.70,3.79,Vs. R
27,2019,2019-05-02,148.0,604,9.7,2.8,3.5,0.9,26.5%,7.6%,18.9%,.228,1.15,.291,79.6%,3.37,3.66,Vs. R
28,2019,2019-05-02,107.1,420,9.8,2.7,3.7,0.9,27.9%,7.6%,20.2%,.203,1.02,.261,83.0%,3.25,3.60,Vs. R
29,2019,2019-05-02,134.1,555,9.3,2.8,3.3,1.1,25.1%,7.6%,17.5%,.226,1.15,.272,77.7%,3.73,3.47,Vs. R
