,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-04-11,Sean Manaea,OAK,20.2,75,7.0,0.9,8.0,1.3,21.3%,2.7%,18.7%,.194,0.77,.207,100.0%,3.94,3.65
0,2018-04-12,Sean Manaea,OAK,20.2,75,7.0,0.9,8.0,1.3,21.3%,2.7%,18.7%,.194,0.77,.207,100.0%,3.94,3.65
0,2018-04-13,Sean Manaea,OAK,20.2,75,7.0,0.9,8.0,1.3,21.3%,2.7%,18.7%,.194,0.77,.207,100.0%,3.94,3.65
0,2018-04-14,Sean Manaea,OAK,20.2,75,7.0,0.9,8.0,1.3,21.3%,2.7%,18.7%,.194,0.77,.207,100.0%,3.94,3.65
1,2018-04-14,Cole Hamels,TEX,22.0,98,12.3,4.5,2.7,2.9,30.6%,11.2%,19.4%,.264,1.55,.320,86.8%,6.07,3.44
2,2018-04-14,Gerrit Cole,HOU,21.0,77,15.4,1.7,9.0,1.3,46.8%,5.2%,41.6%,.139,0.67,.212,100.0%,2.30,1.78
0,2018-04-15,Garrett Richards,LAA,20.0,88,10.8,6.8,1.6,1.4,27.3%,17.1%,10.2%,.181,1.40,.222,84.7%,5.11,4.23
1,2018-04-15,Sean Manaea,OAK,20.2,75,7.0,0.9,8.0,1.3,21.3%,2.7%,18.7%,.194,0.77,.207,100.0%,3.94,3.65
2,2018-04-15,Cole Hamels,TEX,22.0,98,12.3,4.5,2.7,2.9,30.6%,11.2%,19.4%,.264,1.55,.320,86.8%,6.07,3.44
3,2018-04-15,Gerrit Cole,HOU,21.0,77,15.4,1.7,9.0,1.3,46.8%,5.2%,41.6%,.139,0.67,.212,100.0%,2.30,1.78
0,2018-04-16,Felix Hernandez,SEA,21.1,92,6.3,3.4,1.9,2.1,16.3%,8.7%,7.6%,.232,1.27,.226,72.7%,6.21,5.25
1,2018-04-16,Garrett Richards,LAA,20.0,88,10.8,6.8,1.6,1.4,27.3%,17.1%,10.2%,.181,1.40,.222,84.7%,5.11,4.23
2,2018-04-16,Sean Manaea,OAK,27.2,100,6.5,1.3,5.0,1.3,20.0%,4.0%,16.0%,.168,0.72,.169,100.0%,4.14,3.93
