,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-04-06,CIN,16.1,76,8.3,5.5,1.5,2.2,19.7%,13.2%,6.6%,.266,1.65,.289,76.9%,6.71,5.35
1,2018-04-06,PIT,25.2,115,8.1,5.6,1.4,0.4,20.0%,13.9%,6.1%,.235,1.52,.297,64.8%,3.86,5.22
2,2018-04-06,CHW,20.0,95,8.1,3.6,2.3,1.4,18.9%,8.4%,10.5%,.302,1.70,.354,48.7%,4.66,5.19
3,2018-04-06,ATL,28.0,123,8.4,6.8,1.2,0.0,21.1%,17.1%,4.1%,.170,1.36,.230,85.0%,3.77,5.07
4,2018-04-06,CLE,20.1,84,7.1,2.7,2.7,1.8,19.1%,7.1%,11.9%,.213,1.08,.218,82.5%,5.47,5.03
5,2018-04-06,KCR,13.0,59,6.9,4.2,1.7,2.8,17.0%,10.2%,6.8%,.269,1.54,.263,51.9%,7.24,5.02
6,2018-04-06,DET,25.0,106,7.9,3.6,2.2,0.7,20.8%,9.4%,11.3%,.232,1.28,.282,59.6%,3.76,4.97
7,2018-04-06,PHI,24.1,109,7.0,4.1,1.7,1.5,17.4%,10.1%,7.3%,.229,1.36,.247,57.8%,5.34,4.83
8,2018-04-06,TBR,31.0,135,8.4,4.6,1.8,0.6,21.5%,11.8%,9.6%,.231,1.39,.291,71.1%,3.87,4.79
9,2018-04-06,LAD,25.2,102,7.0,3.9,1.8,1.1,19.6%,10.8%,8.8%,.220,1.21,.250,78.4%,4.41,4.75
10,2018-04-06,SDP,29.1,124,7.7,4.0,1.9,0.9,20.2%,10.5%,9.7%,.200,1.19,.232,69.2%,4.22,4.58
11,2018-04-06,MIN,20.1,84,9.7,6.2,1.6,0.9,26.2%,16.7%,9.5%,.171,1.28,.217,90.5%,4.34,4.52
12,2018-04-06,WSN,21.0,90,10.7,4.3,2.5,1.7,27.8%,11.1%,16.7%,.221,1.29,.271,53.3%,5.11,4.45
13,2018-04-06,TEX,30.2,136,9.4,4.4,2.1,0.3,23.5%,11.0%,12.5%,.242,1.43,.322,68.8%,3.06,4.36
14,2018-04-06,OAK,28.1,119,5.4,1.6,3.4,0.6,14.3%,4.2%,10.1%,.274,1.27,.308,81.9%,3.51,4.35
15,2018-04-06,LAA,30.1,125,10.1,4.7,2.1,0.0,27.2%,12.8%,14.4%,.176,1.15,.257,86.1%,2.60,4.29
16,2018-04-06,BOS,27.0,115,10.3,5.3,1.9,0.7,27.0%,13.9%,13.0%,.194,1.30,.262,72.3%,3.72,4.22
17,2018-04-06,ARI,27.1,109,7.9,3.6,2.2,0.7,22.0%,10.1%,11.9%,.173,1.02,.208,87.3%,3.56,4.12
18,2018-04-06,COL,25.1,103,9.2,3.6,2.6,1.1,25.2%,9.7%,15.5%,.220,1.18,.274,57.6%,4.07,4.03
19,2018-04-06,TOR,23.1,94,10.0,2.7,3.7,1.9,27.7%,7.4%,20.2%,.188,0.99,.204,100.0%,4.88,4.00
20,2018-04-06,MIA,40.1,167,8.3,3.3,2.5,0.7,22.2%,9.0%,13.2%,.212,1.17,.261,75.3%,3.48,3.99
21,2018-04-06,BAL,25.0,112,10.4,4.3,2.4,1.1,25.9%,10.7%,15.2%,.240,1.40,.313,69.0%,4.32,3.95
22,2018-04-06,STL,24.0,105,9.4,3.4,2.8,0.8,23.8%,8.6%,15.2%,.305,1.58,.397,80.1%,3.41,3.91
23,2018-04-06,SEA,19.2,81,9.6,1.4,7.0,1.8,25.9%,3.7%,22.2%,.237,1.07,.275,86.2%,4.43,3.80
24,2018-04-06,CHC,29.0,113,8.7,3.1,2.8,0.0,24.8%,8.8%,15.9%,.176,0.97,.243,93.1%,2.37,3.79
25,2018-04-06,HOU,21.0,87,10.3,2.1,4.8,0.9,27.6%,5.8%,21.8%,.244,1.19,.321,76.6%,2.83,3.40
26,2018-04-06,MIL,31.1,124,8.9,2.9,3.1,0.6,25.0%,8.1%,16.9%,.221,1.12,.287,87.4%,3.07,3.34
27,2018-04-06,SFG,19.1,79,11.2,3.3,3.4,0.5,30.4%,8.9%,21.5%,.222,1.19,.319,78.7%,2.44,3.13
28,2018-04-06,NYM,23.1,91,13.1,3.5,3.8,0.8,37.4%,9.9%,27.5%,.161,0.94,.244,99.0%,2.65,3.09
