,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-05-02,KCR,88.2,398,6.4,3.8,1.7,1.1,15.8%,9.3%,6.5%,.287,1.53,.313,60.8%,4.81,4.85
1,2018-05-02,ATL,95.0,424,9.4,6.3,1.5,0.5,23.4%,15.6%,7.8%,.220,1.49,.287,70.4%,4.07,4.84
2,2018-05-02,DET,96.1,421,8.7,4.1,2.1,0.9,22.1%,10.4%,11.6%,.251,1.42,.306,72.2%,4.04,4.70
3,2018-05-02,MIN,91.1,431,9.0,4.2,2.1,1.7,21.1%,10.0%,11.1%,.298,1.70,.345,68.3%,5.16,4.70
4,2018-05-02,CHW,95.1,435,9.4,4.6,2.0,1.1,23.0%,11.3%,11.7%,.290,1.65,.356,72.8%,4.37,4.67
5,2018-05-02,SFG,99.2,441,7.7,3.7,2.1,0.9,19.3%,9.3%,10.0%,.267,1.45,.314,72.3%,4.17,4.58
6,2018-05-02,BAL,99.2,432,8.6,3.6,2.4,1.1,22.0%,9.3%,12.7%,.251,1.36,.302,72.9%,4.23,4.48
7,2018-05-02,STL,89.1,387,8.7,4.0,2.1,0.9,22.2%,10.3%,11.9%,.237,1.33,.286,81.1%,4.12,4.42
8,2018-05-02,TBR,96.2,435,8.9,3.8,2.3,1.1,22.1%,9.4%,12.6%,.266,1.47,.321,67.1%,4.34,4.42
9,2018-05-02,CIN,105.0,460,8.6,4.5,1.9,1.0,21.7%,11.3%,10.4%,.251,1.45,.303,70.8%,4.40,4.41
10,2018-05-02,OAK,90.2,390,7.8,2.9,2.7,1.8,20.3%,7.4%,12.8%,.272,1.38,.297,72.4%,4.99,4.34
11,2018-05-02,LAA,115.1,488,8.6,3.6,2.4,1.4,22.5%,9.4%,13.1%,.242,1.31,.282,86.4%,4.61,4.34
12,2018-05-02,NYM,95.0,400,9.3,3.9,2.4,0.9,24.5%,10.3%,14.2%,.226,1.26,.283,78.3%,3.78,4.25
