,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-05-01,BAL,2.1,12,3.9,7.7,0.5,0.0,8.3%,16.7%,-8.3%,.300,2.14,.333,80.0%,4.88,7.71
1,2018-05-01,ARI,4.0,16,9.0,9.0,1.0,0.0,25.0%,25.0%,0.0%,.000,1.00,.000,100.0%,4.16,7.05
2,2018-05-01,CHW,2.1,13,3.9,7.7,0.5,3.9,7.7%,15.4%,-7.7%,.500,3.00,.444,89.3%,10.45,7.00
3,2018-05-01,SDP,3.0,13,3.0,6.0,0.5,0.0,7.7%,15.4%,-7.7%,.182,1.33,.200,75.0%,4.49,6.70
4,2018-05-01,SFG,2.0,7,4.5,0.0,1.0,4.5,14.3%,0.0%,14.3%,.143,0.50,.000,100.0%,8.66,5.46
5,2018-05-01,MIN,5.0,25,10.8,9.0,1.2,1.8,24.0%,20.0%,4.0%,.263,2.00,.308,58.1%,6.36,5.41
6,2018-05-01,WSN,2.2,14,10.1,3.4,3.0,3.4,21.4%,7.1%,14.3%,.385,2.25,.444,87.0%,6.91,5.13
7,2018-05-01,MIL,3.2,18,4.9,4.9,1.0,2.5,11.1%,11.1%,0.0%,.333,1.91,.308,89.3%,7.25,5.06
8,2018-05-01,KCR,7.0,28,6.4,1.3,5.0,1.3,17.9%,3.6%,14.3%,.192,0.86,.200,53.6%,4.45,4.48
9,2018-05-01,LAA,2.2,11,3.4,0.0,1.0,0.0,9.1%,0.0%,9.1%,.273,1.13,.300,33.3%,2.41,4.27
10,2018-05-01,ATL,3.0,13,12.0,3.0,4.0,0.0,30.8%,7.7%,23.1%,.250,1.33,.375,75.0%,1.49,4.25
11,2018-05-01,PIT,3.1,18,8.1,5.4,1.5,0.0,16.7%,11.1%,5.6%,.375,2.40,.462,25.0%,3.16,4.15
12,2018-05-01,MIA,4.0,18,13.5,4.5,3.0,0.0,33.3%,11.1%,22.2%,.200,1.25,.333,100.0%,2.41,4.06
13,2018-05-01,LAD,2.0,12,13.5,9.0,1.5,0.0,25.0%,16.7%,8.3%,.400,3.00,.571,66.7%,3.16,3.99
14,2018-05-01,TBR,2.0,8,4.5,4.5,1.0,0.0,12.5%,12.5%,0.0%,.143,1.00,.167,100.0%,3.66,3.66
15,2018-05-01,BOS,6.0,29,7.5,1.5,5.0,3.0,17.2%,3.5%,13.8%,.370,1.83,.381,73.2%,6.33,3.65
16,2018-05-01,STL,4.0,14,9.0,2.3,4.0,0.0,28.6%,7.1%,21.4%,.077,0.50,.111,100.0%,1.91,3.56
17,2018-05-01,OAK,3.1,15,10.8,5.4,2.0,0.0,26.7%,13.3%,13.3%,.250,1.50,.333,60.0%,2.56,3.55
18,2018-05-01,NYM,3.0,13,6.0,0.0,2.0,0.0,15.4%,0.0%,15.4%,.385,1.67,.455,100.0%,1.83,3.48
19,2018-05-01,TOR,5.0,15,5.4,0.0,3.0,0.0,20.0%,0.0%,20.0%,.067,0.20,.083,100.0%,1.96,3.28
20,2018-05-01,TEX,5.1,23,5.1,1.7,3.0,1.7,13.0%,4.3%,8.7%,.318,1.50,.333,60.6%,5.04,3.22
21,2018-05-01,PHI,3.1,15,10.8,2.7,4.0,0.0,26.7%,6.7%,20.0%,.286,1.50,.400,80.0%,1.66,3.15
22,2018-05-01,HOU,1.0,7,9.0,0.0,1.0,9.0,14.3%,0.0%,14.3%,.571,4.00,.600,0.0%,14.16,2.81
23,2018-05-01,COL,2.0,7,13.5,4.5,3.0,0.0,42.9%,14.3%,28.6%,.000,0.50,.000,100.0%,1.66,2.49
24,2018-05-01,SEA,3.0,12,18.0,6.0,3.0,0.0,50.0%,16.7%,33.3%,.100,1.00,.250,100.0%,1.16,2.26
25,2018-05-01,CLE,5.1,26,15.2,1.7,9.0,5.1,34.6%,3.9%,30.8%,.333,1.69,.417,86.2%,8.22,2.15
26,2018-05-01,CHC,1.1,4,13.5,0.0,2.0,0.0,50.0%,0.0%,50.0%,.000,0.00,.000,100.0%,0.16,1.40
27,2018-05-01,CIN,4.0,14,13.5,2.3,6.0,2.3,42.9%,7.1%,35.7%,.231,1.00,.333,76.9%,4.16,1.32
28,2018-05-01,NYY,8.0,30,14.6,1.1,13.0,0.0,43.3%,3.3%,40.0%,.207,0.88,.375,100.0%,0.29,1.32
29,2018-05-01,DET,3.0,9,15.0,0.0,5.0,0.0,55.6%,0.0%,55.6%,.111,0.33,.250,100.0%,-0.17,-0.17
0,2018-05-02,SEA,2.0,9,0.0,0.0,0.0,9.0,0.0%,0.0%,0.0%,.333,1.50,.143,0.0%,16.16,8.94
1,2018-05-02,TOR,1.0,8,18.0,18.0,1.0,0.0,25.0%,25.0%,0.0%,.600,5.00,.750,60.0%,5.16,8.46
2,2018-05-02,COL,2.0,8,4.5,4.5,1.0,0.0,12.5%,12.5%,0.0%,.143,1.00,.167,100.0%,3.66,6.96
3,2018-05-02,BAL,3.2,17,9.8,9.8,1.0,2.5,23.5%,23.5%,0.0%,.167,1.64,.125,65.2%,7.80,6.50
4,2018-05-02,SDP,4.0,18,4.5,0.0,2.0,0.0,11.1%,0.0%,11.1%,.353,1.50,.375,66.7%,2.16,6.29
5,2018-05-02,CHW,1.2,5,0.0,5.4,0.0,0.0,0.0%,20.0%,-20.0%,.000,0.60,.000,100.0%,4.96,5.95
