,Away Team,Away Pitcher,Away pHand,Home Team,Home Pitcher,Home pHand,Westgate Home Line,Westgate Away Line,Home Symbol,Away Symbol
0,Kansas City,B. Keller,R,Detroit,S. Turnbull,R, -125, 115,DET,KCR
1,Tampa Bay,R. Stanek,R,Baltimore,J. Means,L,,,BAL,TBR
2,Seattle,E. Swanson,R,Cleveland,C. Anderson,R, -140, 130,CLE,SEA
3,Atlanta,J. Teheran,R,Miami,P. Lopez,R, 105, -115,MIA,ATL
4,Oakland,F. Montas,R,Pittsburgh,J. Lyles,R, 105, -115,PIT,OAK
5,Washington,A. Sanchez,R,Philadelphia,Z. Eflin,R, -160, 150,PHI,
6,Boston,R. Porcello,R,Chi White Sox,D. Covey,R,,,CHW,BOS
7,NY Mets,J. Vargas,L,Milwaukee,Z. Davies,R, -145, 135,MIL,NYM
8,Toronto,C. Buchholz,R,Texas,D. Smyly,L, -130, 120,TEX,TOR
9,Arizona,Z. Greinke,R,Colorado,G. Marquez,R, -135, 125,COL,ARI
10,Houston,J. Verlander,R,LA Angels,M. Harvey,R, 200, -220,LAA,HOU
11,Minnesota,M. Pineda,R,NY Yankees,D. German,R, -135, 125,NYY,MIN
12,LA Dodgers,K. Maeda,R,San Diego,N. Margevicius,L, 125, -135,SDP,LAD
13,San Francisco,J. Samardzija,R,Cincinnati,L. Castillo,R, -180, 165,CIN,SFG
14,St. Louis,A. Wainwright,R,Chi Cubs,J. Quintana,L,,,CHC,STL
