,Date,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
0,2019-05-05,HOU,252,1018,895,253,145,55,3,50,153,151,100,2,192,9,12,2,24,9,4,.283
1,2019-05-05,STL,310,1038,911,255,172,52,2,29,141,132,99,6,211,13,6,9,19,19,7,.280
2,2019-05-05,ATL,298,1063,935,247,154,50,7,36,136,133,104,7,227,9,9,4,15,7,3,.264
3,2019-05-05,TBR,249,976,855,224,134,45,13,32,122,119,102,3,222,10,8,1,30,14,7,.262
4,2019-05-05,NYY,260,996,872,226,143,41,1,41,143,134,98,2,219,11,9,7,23,15,1,.259
5,2019-05-05,CHW,256,988,897,230,153,41,2,34,117,114,77,3,263,11,2,1,17,21,6,.256
6,2019-05-05,TEX,233,952,840,215,124,50,6,35,143,136,92,3,227,9,4,5,18,20,6,.256
7,2019-05-05,ARI,294,1016,914,233,135,59,6,33,131,126,79,4,227,13,6,4,15,10,2,.255
8,2019-05-05,LAA,261,998,871,222,138,42,3,39,138,132,103,9,153,12,8,1,26,13,3,.255
9,2019-05-05,DET,215,871,785,200,123,52,3,22,92,87,70,2,222,10,6,0,11,8,5,.255
10,2019-05-05,BOS,256,1000,859,217,139,46,0,32,134,128,114,9,207,11,10,5,30,13,6,.253
11,2019-05-05,WSN,302,1049,930,232,152,37,3,40,130,122,96,4,261,10,6,7,21,14,5,.249
12,2019-05-05,MIN,254,957,863,215,109,49,4,53,138,131,77,1,184,8,6,2,18,7,3,.249
13,2019-05-05,OAK,250,977,867,214,137,44,3,30,126,120,89,2,191,13,8,0,16,7,6,.247
14,2019-05-05,COL,309,1063,950,234,130,56,12,36,143,138,85,4,251,7,10,11,13,14,7,.246
15,2019-05-05,KCR,282,1105,975,240,139,51,14,36,134,130,107,6,258,9,12,2,20,30,13,.246
16,2019-05-05,CHC,263,940,811,199,107,52,3,37,137,133,101,9,220,17,9,2,13,10,4,.245
17,2019-05-05,TOR,249,945,857,210,136,46,2,26,107,101,70,2,252,5,6,7,19,8,2,.245
18,2019-05-05,PHI,312,1060,937,228,137,56,4,31,123,118,100,6,247,12,4,7,18,6,3,.243
19,2019-05-05,LAD,318,1055,913,222,139,40,7,36,126,122,109,5,235,11,11,11,20,9,3,.243
20,2019-05-05,NYM,323,1067,939,228,147,45,3,33,119,115,101,6,256,16,4,7,18,12,7,.243
21,2019-05-05,SEA,265,1053,931,226,129,47,3,47,140,137,104,1,278,9,7,1,11,15,5,.243
22,2019-05-05,BAL,265,1017,926,224,147,42,6,29,110,100,73,3,219,9,5,4,15,13,3,.242
23,2019-05-05,MIL,319,1064,954,228,142,38,1,47,131,129,90,7,275,12,5,1,23,13,4,.239
24,2019-05-05,PIT,287,938,859,202,131,43,5,23,88,85,62,8,228,5,2,10,9,8,4,.235
25,2019-05-05,CIN,317,1001,890,200,119,31,2,48,124,121,88,7,238,10,6,7,19,14,9,.225
26,2019-05-05,SFG,290,953,866,192,122,43,3,24,99,98,70,5,229,4,9,4,14,8,5,.222
27,2019-05-05,CLE,253,923,812,180,120,34,0,26,98,87,91,5,231,10,4,6,15,20,5,.222
28,2019-05-05,SDP,299,978,890,197,112,38,4,43,108,104,65,0,272,10,6,7,26,9,5,.221
29,2019-05-05,MIA,277,913,825,178,137,25,0,16,65,62,65,0,230,11,6,6,22,9,5,.216
