,Date,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,Handedness
0,2019-05-05,HOU,839,9.3%,17.9%,0.5,.280,.351,.519,.870,.239,.294,137,34.4,.365,135,Vs. R
1,2019-05-05,LAA,673,10.5%,15.2%,0.7,.273,.355,.477,.832,.204,.286,102,20.1,.351,125,Vs. R
2,2019-05-05,TBR,708,9.9%,20.1%,0.5,.268,.347,.486,.832,.217,.306,107,20.7,.352,124,Vs. R
3,2019-05-05,SEA,818,9.3%,25.9%,0.4,.247,.321,.475,.796,.228,.287,114,14.2,.337,117,Vs. R
4,2019-05-05,STL,845,9.1%,20.2%,0.5,.286,.359,.444,.802,.157,.342,121,18.1,.344,115,Vs. R
5,2019-05-05,TEX,748,9.4%,22.7%,0.4,.273,.347,.486,.833,.214,.323,114,22.7,.353,115,Vs. R
6,2019-05-05,KCR,760,9.5%,22.6%,0.4,.260,.334,.472,.806,.212,.306,108,15.0,.340,112,Vs. R
7,2019-05-05,NYY,849,9.9%,22.1%,0.4,.257,.337,.456,.793,.199,.291,118,15.1,.338,111,Vs. R
8,2019-05-05,MIN,806,7.9%,18.6%,0.4,.249,.313,.497,.810,.249,.254,113,15.1,.340,111,Vs. R
9,2019-05-05,CHC,767,11.1%,22.8%,0.5,.246,.342,.445,.787,.199,.291,105,11.6,.335,108,Vs. R
10,2019-05-05,LAD,714,9.9%,22.0%,0.5,.248,.332,.425,.757,.177,.290,92,5.4,.325,106,Vs. R
11,2019-05-05,BOS,776,11.9%,19.7%,0.6,.262,.355,.421,.776,.159,.303,106,11.8,.335,106,Vs. R
12,2019-05-05,CHW,647,9.0%,27.0%,0.3,.252,.325,.433,.758,.181,.313,83,4.2,.325,105,Vs. R
13,2019-05-05,ATL,791,9.5%,22.3%,0.4,.258,.332,.434,.767,.176,.308,103,6.4,.327,101,Vs. R
14,2019-05-05,DET,726,7.9%,24.4%,0.3,.262,.326,.419,.746,.157,.332,91,2.2,.320,100,Vs. R
15,2019-05-05,PHI,786,9.7%,23.8%,0.4,.242,.324,.404,.728,.163,.296,93,-2.3,.314,95,Vs. R
16,2019-05-05,OAK,755,8.9%,20.3%,0.4,.239,.315,.395,.710,.156,.276,87,-5.2,.308,95,Vs. R
17,2019-05-05,MIL,742,8.8%,26.8%,0.3,.239,.314,.423,.738,.184,.291,90,-0.5,.315,94,Vs. R
18,2019-05-05,NYM,864,9.5%,22.8%,0.4,.234,.317,.378,.695,.143,.284,94,-11.7,.302,91,Vs. R
19,2019-05-05,TOR,679,7.5%,27.5%,0.3,.242,.304,.404,.708,.162,.310,75,-7.4,.304,89,Vs. R
20,2019-05-05,CIN,801,8.5%,23.5%,0.4,.229,.301,.429,.730,.201,.254,92,-5.1,.310,89,Vs. R
21,2019-05-05,BAL,706,7.6%,19.7%,0.4,.238,.302,.401,.703,.163,.270,78,-8.5,.302,88,Vs. R
22,2019-05-05,ARI,715,8.4%,24.3%,0.3,.236,.311,.403,.713,.167,.293,81,-6.4,.307,88,Vs. R
23,2019-05-05,PIT,614,7.7%,21.7%,0.4,.240,.304,.407,.711,.167,.288,67,-8.1,.301,87,Vs. R
24,2019-05-05,WSN,797,9.4%,24.7%,0.4,.237,.314,.396,.711,.159,.288,90,-6.8,.307,87,Vs. R
25,2019-05-05,SDP,800,6.8%,28.2%,0.2,.222,.281,.410,.691,.188,.274,82,-15.0,.295,84,Vs. R
26,2019-05-05,CLE,652,10.4%,23.6%,0.4,.224,.315,.380,.695,.155,.268,71,-8.2,.302,84,Vs. R
27,2019-05-05,COL,698,8.2%,22.5%,0.4,.246,.311,.448,.758,.201,.286,86,1.1,.320,82,Vs. R
28,2019-05-05,SFG,601,8.0%,23.3%,0.3,.216,.282,.365,.647,.149,.260,54,-19.3,.279,74,Vs. R
29,2019-05-05,MIA,769,7.3%,25.6%,0.3,.221,.287,.317,.604,.097,.285,61,-32.3,.268,68,Vs. R
