,Unnamed: 0,Away Team,Away Pitcher,Away pHand,Home Team,Home Pitcher,Home pHand,Westgate Home Line,Westgate Away Line,Home Symbol,Away Symbol,xFIP_x,xFIP_y,Team xFIP_x,Team xFIP_y,BsR_Sc_Season_x,BsR_Al_Season_x,BsR_Sc_Season_y,BsR_Al_Season_y,Exp_Win_%_Home,Exp_Win_%_Away,xFIP_adj_Home,xFIP_adj_Away,Exp_Win_%_Home_PitchAdj,Exp_Win_%_Away_PitchAdj,Exp_Win_%_Home_Driver,Exp_Win_%_Away_Driver,Model_Win_%_Home,Model_Win_%_Away,Implied Win % Home,Implied Win % Away,EDGE % Home,EDGE % Away
0,0,San Francisco,D. Pomeranz,L,Cincinnati,A. DeSclafani,R,-145,135,CIN,SFG,4.62,4.2,3.8,4.3,118.81482713095959,103.17503131963052,91.6492027334852,118.21357590512518,0.5642146526134102,0.38561550779566794,1.1294736842105264,0.986046511627907,0.5340803773089602,0.38894990017115044,0.6249056196383611,0.3876729906784331,0.618616314479964,0.381383685520036,0.5918367346938775,0.425531914893617,0.02677957978608647,-0.04414822937358104
1,1,Chi White Sox,I. Nova,R,Cleveland,T. Bauer,R,-260,230,CLE,CHW,3.67,4.71,3.78,4.84,97.11751355162839,108.20476108188582,124.25679274125943,167.30696440910017,0.4507032540997549,0.3671673620692325,0.9825396825396826,0.9838842975206611,0.4550677614742966,0.3709505166835176,0.5949906865115911,0.4131560818604964,0.5909173023255474,0.4090826976744526,0.7222222222222222,0.30303030303030304,-0.1313049198966748,0.10605239464414956
2,2,Seattle,F. Hernandez,R,NY Yankees,C. Sabathia,L,-145,135,NYY,SEA,4.74,3.74,4.31,4.34,136.12281267639705,113.94580860485594,142.96798217458854,151.0230579390512,0.5806487670890471,0.47494459504717296,1.059860788863109,0.9170506912442397,0.56642985095455,0.49657177716638173,0.5754875842592023,0.4297698356310498,0.5728588743140763,0.4271411256859238,0.5918367346938775,0.425531914893617,-0.018977860379801204,0.0016092107923067478
3,3,Boston,J. Smith,R,Baltimore,J. Means,L,145,-155,BAL,BOS,,,5.47,3.61,114.19010841408421,176.95114113819074,124.41089781179595,102.15611498488315,0.3096926817173636,0.5892026857871526,,,,,,,,,0.40816326530612246,0.6078431372549019,,
4,4,Minnesota,M. Perez,L,Toronto,M. Stroman,R,-110,-100,TOR,MIN,3.98,4.6,4.89,4.6,104.34025519139355,109.84361667439735,136.43736898311118,123.54447424804574,0.47650161994594964,0.545289024388476,0.8883435582822086,1.0,0.5060831767708652,0.545289024388476,0.5198633084552126,0.47715347798259666,0.521354915236308,0.47864508476369205,0.5238095238095238,0.5,-0.0024546085732158884,-0.021354915236307948
5,5,Arizona,M. Kelly,R,Tampa Bay,B. Snell,L,-210,185,TBR,ARI,,4.32,3.61,3.84,133.61921425163035,91.97432090249627,131.8014432931264,98.7606190130901,0.6645142663040924,0.6290477177886226,,1.0750000000000002,,0.6120204393824528,,,,,0.6774193548387096,0.3508771929824561,,
6,6,Washington,M. Scherzer,R,Milwaukee,J. Chacin,R,-105,-105,MIL,WSN,6.28,2.81,4.85,3.77,130.51398679542217,155.43603093698874,131.22226044413867,128.08925415387228,0.4207245916304785,0.5110537827432623,1.1769072164948455,0.8472148541114058,0.38161722193140907,0.5523136678617657,0.44130310303495196,0.5440751344517076,0.44861398429162214,0.5513860157083779,0.5121951219512195,0.5121951219512195,-0.06358113765959739,0.03919089375715834
7,7,Philadelphia,V. Velasquez,R,St. Louis,M. Mikolas,R,-125,115,STL,PHI,4.95,4.52,4.39,4.44,143.39458311205522,129.99283265464157,127.6329374935563,140.3102667070609,0.5447700572130989,0.4567839061009485,1.0765375854214123,1.0108108108108107,0.5264281422618504,0.45411705536593416,0.579822730271142,0.426076933472731,0.5768728983992055,0.42312710160079453,0.5555555555555556,0.46511627906976744,0.021317342843649945,-0.041989177468972905
8,8,Miami,S. Alcantara,R,Chi Cubs,C. Hamels,L,-280,250,CHC,MIA,3.12,6.08,3.53,4.62,129.57781789009226,84.35909424630007,71.87920072661217,126.0413580006471,0.6868501154968817,0.263516594185698,0.9303116147308782,1.1896103896103898,0.7021735863341547,0.23122693122197918,0.8124566667548272,0.2279072838755176,0.7922746914396548,0.2077253085603452,0.7368421052631579,0.2857142857142857,0.055432586176496934,-0.07798897715394049
9,9,Kansas City,J. Junis,R,Houston,G. Cole,R,-280,250,HOU,KCR,2.78,4.43,4.11,4.67,161.70585534747593,97.42909371787971,142.6726594154694,146.03121882155375,0.7165022126229055,0.48935671982465984,0.8058394160583942,0.9691648822269807,0.7582387808224178,0.4971852726863119,0.6522878711774793,0.3643473689969621,0.6439702510902586,0.3560297489097414,0.7368421052631579,0.2857142857142857,-0.09287185417289923,0.07031546319545567
10,10,NY Mets,J. deGrom,R,San Diego,C. Paddack,R,105,-115,SDP,NYM,4.1,4.45,4.38,4.31,108.07763265871093,114.1004093496629,127.05973083320734,141.78243579696027,0.47521054886947284,0.4500089112049894,0.9616438356164383,1.0194895591647333,0.48497251724184076,0.4452363850537833,0.5630674113401807,0.44034998293243877,0.561358714203871,0.43864128579612904,0.4878048780487805,0.5348837209302325,0.07355383615509048,-0.09624243513410347
11,11,Atlanta,M. Fried,L,LA Dodgers,W. Buehler,R,-160,150,LAD,ATL,4.11,3.48,3.89,4.39,130.90090293888318,107.15353757915717,145.07140187439848,125.46484927136116,0.5905707768826588,0.5660410745819918,1.0339331619537275,0.875626423690205,0.5824782733464268,0.5983350249604905,0.5327485184288898,0.4661771880050198,0.533285665211935,0.466714334788065,0.6153846153846154,0.4,-0.08209895017268043,0.06671433478806499
