,Unnamed: 0,Away Team,Away Pitcher,Away pHand,Home Team,Home Pitcher,Home pHand,Westgate Home Line,Westgate Away Line,Home Symbol,Away Symbol,xFIP_x,xFIP_y,Team xFIP_x,Team xFIP_y,BsR_Sc_Season_x,BsR_Al_Season_x,BsR_Sc_Season_y,BsR_Al_Season_y,Exp_Win_%_Home,Exp_Win_%_Away,xFIP_adj_Home,xFIP_adj_Away,Exp_Win_%_Home_PitchAdj,Exp_Win_%_Away_PitchAdj,Exp_Win_%_Home_Driver,Exp_Win_%_Away_Driver,Model_Win_%_Home,Model_Win_%_Away,Implied Win % Home,Implied Win % Away,EDGE % Home,EDGE % Away
0,0,Minnesota,J. Odorizzi,R,NY Yankees,J. Harvey,R,-115,105,NYY,MIN,,5.43,4.15,4.7,137.60246411212842,109.83615851740043,133.35280195449684,121.95122048708049,0.6016736761602409,0.5407991228021296,,1.093191489361702,,0.5186060939737196,,,,,0.5348837209302325,0.4878048780487805,,
1,1,St. Louis,M. Wacha,R,Chi Cubs,Y. Darvish,R,-115,105,CHC,STL,4.38,4.87,3.49,4.23,127.72356215213358,91.5264858711099,132.2756710607893,123.6977287540269,0.6479017826624508,0.5306356900833097,1.1530085959885386,1.0907801418439715,0.6147810360014999,0.5089498662856273,0.590856331823087,0.416677939558111,0.587089196132488,0.412910803867512,0.5348837209302325,0.4878048780487805,0.05220547520225549,-0.07489407418126848
2,2,Kansas City,H. Bailey,R,Detroit,T. Ross,R,-105,-105,DET,KCR,4.16,4.14,4.26,4.64,102.0681644864199,110.03946851095657,129.53267072604646,139.6540268540295,0.4656509959791162,0.4656342587494442,0.9859154929577466,0.935344827586207,0.46918208016560825,0.48229739707428115,0.5325565697420737,0.4663406998493448,0.5331079349463644,0.46689206505363556,0.5121951219512195,0.5121951219512195,0.020912812995144914,-0.04530305689758396
3,3,Seattle,M. Leake,R,Cleveland,C. Carrasco,R,-190,175,CLE,SEA,2.82,4.85,3.72,4.2,97.71311040339702,96.19949631545015,137.29652853595616,151.4064290739285,0.5071418297545344,0.4553643083120116,0.8548387096774194,1.0928571428571427,0.5462205967684569,0.43344362753641447,0.602163710661696,0.4070457279548515,0.5975589913534223,0.4024410086465777,0.6551724137931034,0.36363636363636365,-0.05761342243968115,0.03880464501021408
4,4,Atlanta,M. Soroka,R,Miami,T. Richards,R,145,-155,MIA,ATL,6.14,,4.58,4.2,70.28331726821607,120.3988156299543,146.67933331446312,129.20078429080576,0.2718921552017088,0.557788720916399,1.2043668122270743,,0.2366747038497705,,,,,,0.40816326530612246,0.6078431372549019,,
5,5,Oakland,C. Bassitt,R,Pittsburgh,T. Williams,R,-105,-105,PIT,OAK,4.64,,4.4,4.81,89.65209050506775,102.96893442588912,119.208213835035,135.40443058645093,0.43697742385154026,0.44197960040695666,1.0327272727272725,,0.42907127358161673,,,,,,0.5121951219512195,0.5121951219512195,,
6,6,Tampa Bay,Y. Chirinos,R,Baltimore,D. Bundy,R,160,-170,BAL,TBR,4.96,,5.4,3.49,116.41219446888267,186.47241015173367,140.22617706138846,91.33389609742798,0.2968804962824671,0.68666733286543,0.951111111111111,,0.30744897208412403,,,,,,0.38461538461538464,0.6296296296296297,,
7,7,Washington,P. Corbin,L,Philadelphia,J. Arrieta,R,-110,100,PHI,,4.31,3.43,4.45,,123.93238972103892,135.14002545439826,,,0.4604744459446428,,0.9811235955056179,,0.46521230886833437,,,,,,0.5238095238095238,0.5,,
8,8,Boston,E. Rodriguez,L,Chi White Sox,M. Banuelos,L,160,-170,CHW,BOS,,3.8,4.8,3.81,124.02636930241071,153.6169272517223,116.28018932064224,116.67575660264366,0.40334155190788173,0.49844630174819726,,0.9984251968503937,,0.4988403099407766,,,,,0.38461538461538464,0.6296296296296297,,
9,9,Houston,W. Miley,L,LA Angels,T. Cahill,R,125,-135,LAA,HOU,,4.78,4.63,4.08,133.2314240158235,135.832593330917,144.55540120934793,90.75503379412663,0.4911549088035775,0.7009577977570749,,1.1029411764705883,,0.6800241016604334,,,,,0.4444444444444444,0.574468085106383,,
