,Date,Rot,VH,Team,Pitcher,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,hand,qp,concat,F5,game_id
0,2018-03-29,902,H,MIA,JURENA-R,4,155,175.0,+1.5(+105),8.0,-115,8.0,100,R,Jose Urena,329902JURENA-R,4,Game 1
1,2018-03-29,904,H,NYM,NSYNDERGAARD-R,9,-125,-138.0,-1.5(+160),7.0,-114,6.5,105,R,Noah Syndergaard,329904NSYNDERGAARD-R,8,Game 2
2,2018-03-29,908,H,ATL,JTEHERAN-R,8,110,116.0,+1.5(-145),8.0,-110,8.0,-101,R,Julio Teheran,329908JTEHERAN-R,0,Game 3
3,2018-03-29,910,H,SDG,CRICHARD-L,1,105,116.0,+1.5(-150),8.0,-110,8.0,-105,L,Clayton Richard,329910CRICHARD-L,0,Game 4
4,2018-03-29,912,H,LAD,CKERSHAW-L,0,-300,-306.0,-1.5(-145),7.0,-120,7.5,-104,L,Clayton Kershaw,329912CKERSHAW-L,0,Game 5
5,2018-03-29,914,H,ARI,PCORBIN-L,8,105,-109.0,-1.5(+177),9.0,-101,8.0,-102,L,Patrick Corbin,329914PCORBIN-L,3,Game 6
6,2018-03-29,916,H,BAL,DBUNDY-R,3,-125,-127.0,-1.5(+160),9.5,-119,9.5,-115,R,Dylan Bundy,329916DBUNDY-R,0,Game 7
7,2018-03-29,918,H,TEX,CHAMELS-L,1,148,140.0,+1.5(-110),9.0,100,9.0,-101,L,Cole Hamels,329918CHAMELS-L,0,Game 8
8,2018-03-29,920,H,TOR,JHAPP-L,1,140,151.0,+1.5(-111),8.5,-115,8.5,-119,L,J.A. Happ,329920JHAPP-L,0,Game 9
9,2018-03-29,922,H,TAM,CARCHER-R,6,155,153.0,+1.5(-106),7.0,-101,6.5,-101,R,Chris Archer,329922CARCHER-R,0,Game 10
10,2018-03-29,924,H,OAK,KGRAVEMAN-R,6,120,108.0,+1.5(-160),8.5,-110,9.0,-111,R,Kendall Graveman,329924KGRAVEMAN-R,4,Game 11
11,2018-03-29,926,H,KAN,DDUFFY-L,7,-170,-140.0,-1.5(+148),9.0,-110,8.5,-114,L,Danny Duffy,329926DDUFFY-L,4,Game 12
12,2018-03-29,928,H,SEA,FHERNANDEZ-R,2,150,160.0,+1.5(-102),7.5,-119,7.0,-115,R,Felix Hernandez,329928FHERNANDEZ-R,2,Game 13
13,2018-03-30,952,H,MIA,CSMITH-L,2,205,175.0,+1.5(+108),8.5,100,8.0,-101,L,Caleb Smith,330952CSMITH-L,1,Game 14
14,2018-03-30,954,H,ATL,MFOLTYNEWICZ-R,4,-130,-101.0,-1.5(+188),9.0,-101,9.0,-114,R,Mike Foltynewicz,330954MFOLTYNEWICZ-R,3,Game 15
15,2018-03-30,956,H,ARI,RRAY-L,9,-165,-143.0,-1.5(+148),8.5,-110,8.0,-117,L,Robbie Ray,330956RRAY-L,9,Game 16
16,2018-03-30,958,H,LAD,AWOOD-L,0,-190,-163.0,-1.5(+137),7.0,100,7.5,-120,L,Alex Wood,330958AWOOD-L,0,Game 17
17,2018-03-30,960,H,SDG,JLUCCHESI-L,6,113,103.0,+1.5(-166),8.0,100,8.0,-119,L,Joey Lucchesi,330960JLUCCHESI-L,4,Game 18
18,2018-03-30,962,H,TOR,ASANCHEZ-R,2,130,122.0,+1.5(-123),9.0,-115,8.5,-110,R,Aaron Sanchez,330962ASANCHEZ-R,1,Game 19
19,2018-03-30,964,H,TAM,BSNELL-L,0,155,126.0,+1.5(-137),7.5,-115,7.0,-102,L,Blake Snell,330964BSNELL-L,0,Game 20
20,2018-03-30,966,H,TEX,DFISTER-R,5,175,150.0,+1.5(-103),9.5,-110,9.0,-118,R,Doug Fister,330966DFISTER-R,3,Game 21
21,2018-03-30,968,H,OAK,SMANAEA-L,1,-107,104.0,-1.5(+192),9.0,-120,9.0,-108,L,Sean Manaea,330968SMANAEA-L,0,Game 22
22,2018-03-30,970,H,CIN,HBAILEY-R,0,175,190.0,+1.5(+111),8.5,-101,9.0,-128,R,Homer Bailey,330970HBAILEY-R,0,Game 23
23,2018-03-30,972,H,DET,JZIMMERMANN-R,10,109,114.0,+1.5(-140),9.5,-110,9.0,-125,R,Jordan Zimmermann,330972JZIMMERMANN-R,2,Game 24
24,2018-03-31,902,H,NYM,JDEGROM-R,6,-155,-117.0,-1.5(+185),7.5,-110,7.0,-120,R,Jacob deGrom,331902JDEGROM-R,4,Game 25
25,2018-03-31,904,H,CIN,LCASTILLO-R,7,165,130.0,+1.5(-135),8.0,-101,8.0,-119,R,Luis Castillo,331904LCASTILLO-R,1,Game 26
26,2018-03-31,906,H,ATL,BMCCARTHY-R,15,-125,-115.0,-1.5(+172),9.0,-110,8.0,-101,R,Brandon McCarthy,331906BMCCARTHY-R,8,Game 27
27,2018-03-31,908,H,MIA,ODESPAIGNE-R,6,205,185.0,+1.5(+111),8.5,-115,8.0,-110,,,331908ODESPAIGNE-R,5,Game 28
28,2018-03-31,910,H,ARI,ZGREINKE-R,1,-165,-151.0,-1.5(+141),8.5,-110,8.5,-117,R,Zack Greinke,331910ZGREINKE-R,1,Game 29
29,2018-03-31,912,H,SDG,LPERDOMO-R,3,110,110.0,+1.5(-155),8.0,-101,7.5,-111,R,Luis Perdomo,331912LPERDOMO-R,3,Game 30
30,2018-03-31,914,H,LAD,KMAEDA-R,5,-210,-205.0,-1.5(-110),8.5,-119,8.0,100,R,Kenta Maeda,331914KMAEDA-R,5,Game 31
31,2018-03-31,916,H,TEX,MMOORE-L,3,170,176.0,+1.5(+110),10.0,-105,9.5,-106,L,Matt Moore,331916MMOORE-L,1,Game 32
32,2018-03-31,918,H,OAK,DMENGDEN-R,3,112,-103.0,+1.5(-170),9.0,100,9.0,-121,R,Daniel Mengden,331918DMENGDEN-R,0,Game 33
33,2018-03-31,920,H,TOR,MESTRADA-R,5,130,-106.0,+1.5(-170),9.0,-105,9.5,-120,R,Marco Estrada,331920MESTRADA-R,2,Game 34
34,2018-03-31,922,H,SEA,JPAXTON-L,5,111,-103.0,+1.5(-175),7.5,-115,6.5,101,L,James Paxton,331922JPAXTON-L,3,Game 35
35,2018-03-31,924,H,TAM,AKITTREDGE-R,2,140,101.0,+1.5(-159),8.5,105,8.0,-119,,,331924AKITTREDGE-R,0,Game 36
36,2018-03-31,926,H,BAL,ACASHNER-R,2,-124,109.0,+1.5(-155),9.5,-115,9.0,-122,R,Andrew Cashner,331926ACASHNER-R,0,Game 37
37,2018-03-31,928,H,KAN,IKENNEDY-R,3,-126,-102.0,-1.5(+184),9.0,-110,8.5,-115,R,Ian Kennedy,331928IKENNEDY-R,3,Game 38
38,2018-04-01,952,H,MIA,DPETERS-L,6,180,183.0,+1.5(+109),8.0,-101,8.0,-119,L,Dillon Peters,401952DPETERS-L,5,Game 39
39,2018-04-01,954,H,NYM,SMATZ-L,1,101,137.0,+1.5(-119),8.0,-119,8.0,-109,L,Steven Matz,401954SMATZ-L,1,Game 40
40,2018-04-01,956,H,CIN,SROMANO-R,5,145,116.0,+1.5(-141),9.0,-110,8.5,-113,R,Sal Romano,401956SROMANO-R,0,Game 41
41,2018-04-01,958,H,LAD,RHILL-L,9,-185,-195.0,-1.5(+109),7.5,-115,7.5,-105,L,Rich Hill,401958RHILL-L,1,Game 42
42,2018-04-01,960,H,BAL,KGAUSMAN-R,0,-115,-113.0,-1.5(+172),9.0,-105,9.0,-122,R,Kevin Gausman,401960KGAUSMAN-R,0,Game 43
43,2018-04-01,962,H,TOR,MSTROMAN-R,7,109,-114.0,-1.5(+171),8.5,-101,8.5,-110,R,Marcus Stroman,401962MSTROMAN-R,1,Game 44
44,2018-04-01,964,H,TAM,JFARIA-R,1,105,-114.0,+1.5(-184),8.0,-110,8.5,-119,R,Jake Faria,401964JFARIA-R,1,Game 45
45,2018-04-01,968,H,TEX,MMINOR-L,2,140,140.0,+1.5(-115),9.5,-101,9.5,-122,L,Mike Minor,401968MMINOR-L,1,Game 46
46,2018-04-01,970,H,OAK,DGOSSETT-R,4,109,111.0,+1.5(-148),9.5,-120,9.0,-109,,,401970DGOSSETT-R,3,Game 47
47,2018-04-01,972,H,SEA,MLEAKE-R,5,125,130.0,+1.5(-135),8.5,-120,7.5,105,R,Mike Leake,401972MLEAKE-R,2,Game 48
48,2018-04-01,974,H,DET,MFULMER-R,0,-109,-111.0,-1.5(+176),8.5,-110,8.5,-115,R,Michael Fulmer,401974MFULMER-R,0,Game 49
49,2018-04-01,976,H,DET,RCARPENTER-L,6,-105,111.0,+1.5(-149),9.0,-121,8.5,-105,,,401976RCARPENTER-L,3,Game 50
50,2018-04-02,902,H,MIL,ZDAVIES-R,4,-130,-111.0,-1.5(+172),9.0,-110,9.5,-119,R,Zach Davies,402902ZDAVIES-R,2,Game 51
51,2018-04-02,904,H,CIN,TMAHLE-R,1,125,125.0,+1.5(-135),9.0,-110,8.5,-110,R,Tyler Mahle,402904TMAHLE-R,1,Game 52
52,2018-04-02,908,H,ATL,SNEWCOMB-L,1,115,111.0,+1.5(-155),9.5,-119,9.0,-103,L,Sean Newcomb,402908SNEWCOMB-L,1,Game 53
53,2018-04-02,910,H,ARI,TWALKER-R,8,105,-101.0,+1.5(-167),9.0,-101,9.0,-120,,,402910TWALKER-R,3,Game 54
54,2018-04-02,912,H,SDG,BMITCHELL-R,4,110,-111.0,-1.5(+184),8.5,-110,8.0,-115,R,Bryan Mitchell,402912BMITCHELL-R,2,Game 55
55,2018-04-02,916,H,DET,FLIRIANO-L,6,-108,-111.0,-1.5(+176),9.5,-119,8.5,-105,L,Francisco Liriano,402916FLIRIANO-L,5,Game 56
56,2018-04-02,918,H,TOR,JGARCIA-L,4,-140,-175.0,-1.5(+110),9.5,-119,9.0,-103,L,Jaime Garcia,402918JGARCIA-L,0,Game 57
57,2018-04-02,920,H,HOU,CMORTON-R,6,-210,-228.0,-1.5(-109),9.0,-101,9.5,-105,R,Charlie Morton,402920CMORTON-R,4,Game 58
58,2018-04-02,922,H,OAK,ATRIGGS-R,3,-130,-167.0,-1.5(+118),9.0,100,9.0,105,R,Andrew Triggs,402922ATRIGGS-R,1,Game 59
59,2018-04-02,924,H,LAA,JRAMIREZ-R,0,120,101.0,+1.5(-165),9.0,-120,8.0,-101,,,402924JRAMIREZ-R,0,Game 60
60,2018-04-02,926,H,PIT,JTAILLON-R,5,-108,-146.0,-1.5(+151),8.5,-115,7.5,-110,R,Jameson Taillon,402926JTAILLON-R,5,Game 61
61,2018-04-02,928,H,MIA,TRICHARDS-R,3,150,118.0,+1.5(-146),9.0,-110,8.5,-101,R,Trevor Richards,402928TRICHARDS-R,1,Game 62
62,2018-04-03,954,H,NYM,MHARVEY-R,2,-113,-126.0,-1.5(+163),8.0,-110,7.5,-110,R,Matt Harvey,403954MHARVEY-R,0,Game 63
63,2018-04-03,956,H,ATL,JTEHERAN-R,13,105,114.0,+1.5(-140),9.0,-110,9.5,100,R,Julio Teheran,403956JTEHERAN-R,11,Game 64
64,2018-04-03,958,H,MIL,CANDERSON-R,5,-140,-108.0,-1.5(+176),9.0,100,9.5,-124,R,Chase Anderson,403958CANDERSON-R,1,Game 65
65,2018-04-03,960,H,ARI,ZGODLEY-R,6,155,153.0,+1.5(-120),7.5,-110,7.5,-120,R,Zack Godley,403960ZGODLEY-R,2,Game 66
66,2018-04-03,962,H,SDG,TROSS-R,8,112,102.0,+1.5(-180),8.5,-115,8.0,-110,R,Tyson Ross,403962TROSS-R,2,Game 67
