,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-04-10,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-11,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-12,Carlos Carrasco,CLE,20.2,77,6.1,1.3,4.7,1.3,18.2%,3.9%,14.3%,.203,0.87,.210,72.5%,4.13,3.84
1,2018-04-12,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-13,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
1,2018-04-13,Carlos Carrasco,CLE,20.2,77,6.1,1.3,4.7,1.3,18.2%,3.9%,14.3%,.203,0.87,.210,72.5%,4.13,3.84
2,2018-04-13,Jose Berrios,MIN,20.2,75,10.5,0.4,24.0,0.4,32.0%,1.3%,30.7%,.164,0.63,.229,71.4%,1.76,2.57
3,2018-04-13,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-14,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
1,2018-04-14,Carlos Carrasco,CLE,20.2,77,6.1,1.3,4.7,1.3,18.2%,3.9%,14.3%,.203,0.87,.210,72.5%,4.13,3.84
2,2018-04-14,Jose Berrios,MIN,20.2,75,10.5,0.4,24.0,0.4,32.0%,1.3%,30.7%,.164,0.63,.229,71.4%,1.76,2.57
3,2018-04-14,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-15,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
1,2018-04-15,Carlos Carrasco,CLE,20.2,77,6.1,1.3,4.7,1.3,18.2%,3.9%,14.3%,.203,0.87,.210,72.5%,4.13,3.84
2,2018-04-15,Jose Berrios,MIN,20.2,75,10.5,0.4,24.0,0.4,32.0%,1.3%,30.7%,.164,0.63,.229,71.4%,1.76,2.57
3,2018-04-15,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-16,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
1,2018-04-16,Carlos Carrasco,CLE,20.2,77,6.1,1.3,4.7,1.3,18.2%,3.9%,14.3%,.203,0.87,.210,72.5%,4.13,3.84
2,2018-04-16,Jose Berrios,MIN,20.2,75,10.5,0.4,24.0,0.4,32.0%,1.3%,30.7%,.164,0.63,.229,71.4%,1.76,2.57
3,2018-04-16,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-17,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
1,2018-04-17,Carlos Carrasco,CLE,20.2,77,6.1,1.3,4.7,1.3,18.2%,3.9%,14.3%,.203,0.87,.210,72.5%,4.13,3.84
