,Date,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
0,2018-03-30,KCR,9.0,47,14.00,14,3,0,14,14,6,7,0,1,7,.359,.468,.897,.550
1,2018-03-30,STL,8.0,44,9.00,12,2,0,9,8,0,9,0,1,8,.364,.512,.424,.424
2,2018-03-30,MIA,9.0,44,7.00,9,4,0,8,7,3,5,2,3,10,.257,.395,.629,.416
3,2018-03-30,TOR,9.0,40,5.00,11,4,0,6,5,3,2,0,0,9,.289,.325,.632,.399
4,2018-03-30,COL,8.0,42,9.00,12,2,1,8,8,0,6,0,0,11,.333,.429,.444,.384
5,2018-03-30,PHI,8.2,40,7.27,9,1,0,8,7,3,4,1,1,6,.265,.359,.559,.382
6,2018-03-30,LAA,10.1,47,5.23,12,1,1,6,6,2,5,1,0,11,.286,.362,.500,.363
7,2018-03-30,OAK,11.0,47,4.09,13,2,1,5,5,3,1,0,0,7,.283,.298,.565,.362
8,2018-03-30,TEX,9.0,37,4.00,6,2,0,4,4,2,6,0,0,13,.200,.324,.467,.337
9,2018-03-30,CHC,9.0,40,3.00,8,2,1,4,3,0,6,0,1,7,.242,.375,.364,.333
10,2018-03-30,ARI,9.0,36,2.00,9,0,0,2,2,2,2,0,0,12,.273,.314,.455,.331
11,2018-03-30,ATL,9.0,38,5.00,6,2,0,5,5,1,6,0,1,11,.194,.342,.355,.316
12,2018-03-30,TBR,9.0,35,4.00,8,4,0,4,4,1,2,0,0,6,.242,.286,.455,.315
13,2018-03-30,CHW,9.0,39,6.00,9,3,0,7,6,1,2,0,1,2,.250,.308,.417,.315
14,2018-03-30,LAD,9.0,36,1.00,8,2,0,1,1,1,2,0,0,11,.235,.278,.382,.286
15,2018-03-30,BOS,8.0,35,6.75,4,1,1,6,6,0,7,0,0,11,.143,.314,.250,.269
16,2018-03-30,SDP,12.0,45,1.50,10,2,0,2,2,0,2,0,1,9,.238,.289,.286,.258
17,2018-03-30,CLE,8.0,29,2.25,6,1,0,2,2,1,1,0,0,8,.214,.241,.357,.258
18,2018-03-30,NYM,9.0,34,4.00,6,1,0,4,4,2,1,0,0,15,.182,.206,.394,.254
19,2018-03-30,SFG,9.0,36,0.00,6,0,0,0,0,0,5,0,0,10,.194,.306,.194,.242
20,2018-03-30,MIN,10.0,40,2.70,5,1,1,3,3,1,5,2,0,13,.147,.256,.324,.235
21,2018-03-30,HOU,9.0,34,1.00,6,1,0,1,1,0,2,0,1,9,.194,.265,.226,.228
22,2018-03-30,SEA,9.0,35,1.00,5,1,0,1,1,0,2,0,2,8,.167,.265,.200,.223
23,2018-03-30,BAL,11.0,43,1.64,8,0,0,2,2,0,3,0,0,11,.200,.256,.200,.212
24,2018-03-30,MIL,12.0,45,0.75,6,0,0,1,1,0,6,1,0,15,.154,.267,.154,.198
25,2018-03-30,NYY,9.0,32,1.00,2,0,0,1,1,1,3,0,0,12,.069,.156,.172,.156
0,2018-03-31,KCR,9.0,47,14.00,14,3,0,14,14,6,7,0,1,7,.359,.468,.897,.550
1,2018-03-31,STL,8.0,44,9.00,12,2,0,9,8,0,9,0,1,8,.364,.512,.424,.424
2,2018-03-31,COL,16.0,80,9.56,20,3,2,17,17,1,11,0,1,20,.294,.400,.441,.369
3,2018-03-31,ARI,18.0,77,4.50,19,1,0,10,9,5,7,0,0,23,.275,.342,.507,.364
4,2018-03-31,DET,13.0,58,7.62,17,3,1,13,11,1,4,0,0,10,.327,.368,.481,.363
5,2018-03-31,TOR,18.0,77,4.50,19,7,1,10,9,3,6,0,0,15,.268,.325,.521,.358
6,2018-03-31,PIT,13.0,62,6.92,14,7,0,10,10,0,9,0,0,9,.264,.371,.396,.340
7,2018-03-31,PHI,19.2,86,5.03,18,3,0,12,11,3,9,1,3,15,.254,.357,.423,.338
8,2018-03-31,ATL,20.0,86,4.05,16,4,0,10,9,3,11,0,1,21,.225,.329,.408,.321
9,2018-03-31,CHW,9.0,39,6.00,9,3,0,7,6,1,2,0,1,2,.250,.308,.417,.315
