,base,source,qp_match,fit,qp
0,CRICHARD-L,CRICHARD,CRichard,100,Clayton Richard
1,TBLACH-L,TBLACH,TBlach,100,Ty Blach
2,CKERSHAW-L,CKERSHAW,CKershaw,100,Clayton Kershaw
3,JGRAY-R,JGRAY,JGray,100,Jon Gray
4,PCORBIN-L,PCORBIN,PCorbin,100,Patrick Corbin
5,JODORIZZI-R,JODORIZZI,JOdorizzi,100,Jake Odorizzi
6,DBUNDY-R,DBUNDY,DBundy,100,Dylan Bundy
7,JVERLANDER-R,JVERLANDER,JVerlander,100,Justin Verlander
8,CHAMELS-L,CHAMELS,CHamels,100,Cole Hamels
9,LSEVERINO-R,LSEVERINO,LSeverino,100,Luis Severino
10,JHAPP-L,JHAPP,JHapp,100,J.A. Happ
11,CSALE-L,CSALE,CSale,100,Chris Sale
12,CARCHER-R,CARCHER,CArcher,100,Chris Archer
13,GRICHARDS-R,GRICHARDS,GRichards,100,Garrett Richards
14,KGRAVEMAN-R,KGRAVEMAN,KGraveman,100,Kendall Graveman
15,JSHIELDS-R,JSHIELDS,JShields,100,James Shields
16,DDUFFY-L,DDUFFY,DDuffy,100,Danny Duffy
17,CKLUBER-R,CKLUBER,CKluber,100,Corey Kluber
18,FHERNANDEZ-R,FHERNANDEZ,FHernandez,100,Felix Hernandez
19,TANDERSON-L,TANDERSON,TAnderson,100,Tyler Anderson
20,RRAY-L,RRAY,RRay,100,Robbie Ray
21,JCUETO-R,JCUETO,JCueto,100,Johnny Cueto
22,AWOOD-L,AWOOD,AWood,100,Alex Wood
23,JLUCCHESI-L,JLUCCHESI,JLucchesi,100,Joey Lucchesi
24,MTANAKA-R,MTANAKA,MTanaka,100,Masahiro Tanaka
25,ASANCHEZ-R,ASANCHEZ,ASanchez,100,Aaron Sanchez
26,DPRICE-L,DPRICE,DPrice,100,David Price
27,BSNELL-L,BSNELL,BSnell,100,Blake Snell
28,DKEUCHEL-L,DKEUCHEL,DKeuchel,100,Dallas Keuchel
29,DFISTER-R,DFISTER,DFister,100,Doug Fister
30,TSKAGGS-L,TSKAGGS,TSkaggs,100,Tyler Skaggs
31,SMANAEA-L,SMANAEA,SManaea,100,Sean Manaea
32,JZIMMERMANN-R,JZIMMERMANN,JZimmermann,100,Jordan Zimmermann
33,GMARQUEZ-R,GMARQUEZ,GMarquez,100,German Marquez
34,ZGREINKE-R,ZGREINKE,ZGreinke,100,Zack Greinke
35,DHOLLAND-L,DHOLLAND,DHolland,100,Derek Holland
36,KMAEDA-R,KMAEDA,KMaeda,100,Kenta Maeda
37,LMCCULLERSJR.-R,LMCCULLERSJR.,LMcCullers,100,Lance McCullers Jr.
