,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-05-02,DET,28.0,130,8.0,4.5,1.8,1.6,19.2%,10.8%,8.5%,.278,1.64,.318,70.0%,5.30,5.22
1,2018-05-02,SFG,34.2,158,5.7,3.6,1.6,0.3,13.9%,8.9%,5.1%,.290,1.56,.333,61.8%,3.82,5.21
2,2018-05-02,OAK,18.0,82,9.0,5.5,1.6,2.0,21.9%,13.4%,8.5%,.269,1.61,.292,65.6%,6.05,5.18
3,2018-05-02,MIN,33.2,166,9.1,5.1,1.8,1.9,20.5%,11.5%,9.0%,.319,1.90,.358,64.6%,5.54,4.89
4,2018-05-02,SDP,25.2,117,8.1,3.9,2.1,1.4,19.7%,9.4%,10.3%,.284,1.56,.325,65.9%,4.91,4.82
5,2018-05-02,CHW,25.1,114,7.1,3.9,1.8,0.7,17.5%,9.7%,7.9%,.273,1.50,.317,88.7%,4.15,4.82
6,2018-05-02,STL,28.2,128,7.8,4.1,1.9,0.3,19.5%,10.2%,9.4%,.239,1.36,.287,73.2%,3.44,4.77
7,2018-05-02,WSN,19.0,76,6.2,2.8,2.2,0.5,17.1%,7.9%,9.2%,.203,1.05,.236,86.7%,3.58,4.64
8,2018-05-02,KCR,37.0,158,5.1,2.4,2.1,1.0,13.3%,6.3%,7.0%,.278,1.35,.300,73.8%,4.49,4.55
9,2018-05-02,LAD,23.1,123,12.0,6.2,1.9,2.3,25.2%,13.0%,12.2%,.324,2.14,.406,61.0%,6.03,4.53
10,2018-05-02,NYM,28.2,118,7.5,1.9,4.0,0.6,20.3%,5.1%,15.3%,.239,1.12,.289,80.8%,3.34,4.50
11,2018-05-02,CLE,27.2,131,9.1,2.6,3.5,2.6,21.4%,6.1%,15.3%,.308,1.63,.341,55.9%,5.98,4.43
12,2018-05-02,LAA,25.0,108,8.6,3.2,2.7,1.1,22.2%,8.3%,13.9%,.247,1.32,.292,79.9%,3.88,4.30
13,2018-05-02,TOR,27.2,110,9.4,3.6,2.6,0.7,26.4%,10.0%,16.4%,.212,1.16,.279,85.6%,3.20,4.29
14,2018-05-02,MIA,24.2,107,9.9,4.7,2.1,0.7,25.2%,12.2%,13.1%,.191,1.22,.242,86.1%,3.97,4.26
15,2018-05-02,PIT,26.0,115,9.3,3.8,2.5,0.7,23.5%,9.6%,13.9%,.252,1.42,.320,73.1%,3.35,4.13
16,2018-05-02,ARI,30.1,119,8.0,3.6,2.3,0.9,22.7%,10.1%,12.6%,.163,0.96,.187,89.5%,4.05,4.13
17,2018-05-02,TEX,24.1,103,7.4,2.6,2.9,0.7,19.4%,6.8%,12.6%,.261,1.27,.306,62.9%,3.70,4.05
18,2018-05-02,PHI,31.2,136,10.8,4.5,2.4,0.9,27.9%,11.8%,16.2%,.252,1.45,.346,81.8%,3.60,4.04
19,2018-05-02,ATL,27.2,115,10.4,4.2,2.5,1.0,27.8%,11.3%,16.5%,.224,1.27,.288,84.9%,3.78,3.98
20,2018-05-02,TBR,24.2,106,9.5,2.2,4.3,0.7,24.5%,5.7%,18.9%,.245,1.18,.313,73.7%,3.44,3.80
21,2018-05-02,CIN,36.0,158,8.8,3.3,2.7,0.8,22.1%,8.2%,13.9%,.287,1.50,.362,71.4%,3.55,3.61
22,2018-05-02,CHC,17.2,68,9.7,3.1,3.2,0.0,27.9%,8.8%,19.1%,.200,1.02,.279,77.8%,2.03,3.52
23,2018-05-02,BOS,27.1,121,9.2,1.6,5.6,1.6,23.1%,4.1%,19.0%,.310,1.46,.366,79.4%,4.15,3.46
24,2018-05-02,BAL,21.1,86,11.0,1.7,6.5,0.8,30.2%,4.7%,25.6%,.232,1.08,.315,69.3%,2.50,3.38
25,2018-05-02,COL,18.2,75,12.1,4.8,2.5,0.5,33.3%,13.3%,20.0%,.159,1.07,.231,86.0%,2.79,3.06
26,2018-05-02,NYY,29.1,118,11.4,2.5,4.6,0.3,31.4%,6.8%,24.6%,.227,1.13,.333,91.8%,1.90,3.03
27,2018-05-02,SEA,21.0,80,14.1,2.6,5.5,0.0,41.3%,7.5%,33.8%,.125,0.71,.231,76.5%,1.16,2.81
28,2018-05-02,HOU,15.2,64,11.5,1.7,6.7,1.7,31.3%,4.7%,26.6%,.246,1.15,.316,50.7%,3.67,2.66
29,2018-05-02,MIL,23.0,92,11.0,2.3,4.7,0.4,30.4%,6.5%,23.9%,.229,1.09,.316,80.5%,2.07,2.51
0,2018-05-03,SDP,24.2,117,6.6,3.6,1.8,1.5,15.4%,8.6%,6.8%,.314,1.70,.337,65.1%,5.27,5.64
1,2018-05-03,SFG,34.2,164,6.2,4.2,1.5,0.3,14.6%,9.8%,4.9%,.296,1.67,.344,62.7%,3.88,5.41
2,2018-05-03,CHW,22.1,102,7.3,4.4,1.6,0.8,17.6%,10.8%,6.9%,.287,1.61,.333,88.1%,4.46,4.92
3,2018-05-03,CLE,24.1,114,8.5,3.0,2.9,3.0,20.2%,7.0%,13.2%,.301,1.60,.315,60.4%,6.78,4.88
4,2018-05-03,MIN,33.0,160,8.7,4.9,1.8,1.4,20.0%,11.3%,8.8%,.316,1.85,.362,64.8%,4.83,4.86
5,2018-05-03,OAK,17.2,84,10.2,6.1,1.7,2.0,23.8%,14.3%,9.5%,.294,1.81,.340,73.0%,6.05,4.79
6,2018-05-03,DET,34.0,150,8.2,4.2,1.9,1.3,20.7%,10.7%,10.0%,.256,1.47,.299,72.7%,4.75,4.78
7,2018-05-03,NYM,27.2,120,7.2,1.3,5.5,1.6,18.3%,3.3%,15.0%,.274,1.27,.302,74.2%,4.68,4.78
8,2018-05-03,STL,25.0,114,7.9,4.3,1.8,0.0,19.3%,10.5%,8.8%,.240,1.40,.295,70.3%,3.08,4.73
9,2018-05-03,LAD,28.0,140,11.3,6.1,1.8,1.9,25.0%,13.6%,11.4%,.294,1.93,.367,66.5%,5.59,4.63
10,2018-05-03,TOR,25.2,104,9.5,3.9,2.5,0.7,26.0%,10.6%,15.4%,.207,1.17,.266,84.6%,3.36,4.60
11,2018-05-03,KCR,32.1,138,5.0,1.9,2.6,0.8,13.0%,5.1%,8.0%,.266,1.27,.290,67.8%,4.18,4.51
12,2018-05-03,WSN,19.0,76,6.6,2.8,2.3,0.5,18.4%,7.9%,10.5%,.217,1.11,.259,87.4%,3.48,4.36
13,2018-05-03,ARI,29.0,114,7.1,3.4,2.1,0.9,20.2%,9.7%,10.5%,.162,0.93,.173,88.7%,4.26,4.34
14,2018-05-03,LAA,24.1,104,8.9,3.7,2.4,0.7,23.1%,9.6%,13.5%,.231,1.27,.279,63.8%,3.49,4.32
15,2018-05-03,PHI,29.0,120,9.9,3.7,2.7,0.6,26.7%,10.0%,16.7%,.224,1.24,.301,84.8%,3.20,4.12
16,2018-05-03,PIT,29.1,129,9.8,3.7,2.7,0.6,24.8%,9.3%,15.5%,.250,1.40,.325,73.3%,3.09,4.06
17,2018-05-03,MIA,23.0,103,9.8,3.9,2.5,0.8,24.3%,9.7%,14.6%,.241,1.35,.302,76.9%,3.81,4.05
18,2018-05-03,CHC,19.1,78,7.9,3.3,2.4,0.5,21.8%,9.0%,12.8%,.217,1.14,.264,72.8%,3.16,4.03
19,2018-05-03,TEX,25.2,107,7.4,1.8,4.2,1.4,19.6%,4.7%,14.9%,.255,1.17,.280,64.4%,4.37,4.02
20,2018-05-03,COL,18.2,77,10.6,5.3,2.0,0.5,28.6%,14.3%,14.3%,.156,1.13,.209,86.7%,3.27,3.90
21,2018-05-03,TBR,29.0,123,9.3,1.9,5.0,0.6,24.4%,4.9%,19.5%,.243,1.14,.313,73.9%,3.13,3.88
22,2018-05-03,BAL,25.0,103,10.8,2.9,3.8,1.1,29.1%,7.8%,21.4%,.223,1.16,.290,68.5%,3.28,3.84
