,Date,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
0,2018-04-06,ATL,72,248,212,63,39,16,1,7,48,45,24,2,49,4,2,6,3,2,1,.297
1,2018-04-06,HOU,68,273,235,66,38,18,2,8,41,41,28,0,66,4,5,1,5,4,1,.281
2,2018-04-06,CHW,59,241,210,57,31,10,2,14,36,36,22,0,62,8,1,0,9,5,0,.271
3,2018-04-06,SEA,63,222,199,54,39,10,0,5,21,21,19,1,43,1,1,2,7,4,0,.271
4,2018-04-06,NYM,69,226,189,50,34,9,1,6,30,28,28,1,46,6,1,2,5,1,2,.265
5,2018-04-06,PIT,61,244,210,55,34,12,2,7,35,31,28,2,40,1,3,1,3,3,4,.262
6,2018-04-06,LAA,68,284,266,69,41,15,2,11,38,36,13,0,46,4,1,0,4,1,0,.259
7,2018-04-06,OAK,76,308,271,70,50,14,1,5,27,26,29,1,71,5,3,0,6,2,0,.258
8,2018-04-06,ARI,80,286,244,63,38,15,5,5,38,38,36,2,63,2,2,2,5,5,1,.258
9,2018-04-06,DET,57,252,227,58,36,17,3,2,31,30,23,2,43,0,2,0,5,1,2,.256
10,2018-04-06,MIL,84,271,251,62,41,15,0,6,26,26,15,1,65,3,1,1,7,7,2,.247
11,2018-04-06,WSN,79,288,241,59,36,11,0,12,38,37,39,3,58,5,3,0,3,7,1,.245
12,2018-04-06,MIN,64,233,212,51,26,13,0,12,30,27,19,0,59,1,1,0,5,4,0,.241
13,2018-04-06,BOS,69,287,258,62,38,19,1,4,24,23,25,4,47,3,0,1,5,6,3,.240
14,2018-04-06,COL,77,267,236,56,36,10,0,10,31,31,28,2,64,0,1,2,4,4,1,.237
15,2018-04-06,STL,77,265,238,56,37,7,0,12,30,29,22,0,72,3,2,0,5,4,2,.235
16,2018-04-06,SFG,67,217,197,46,32,6,0,8,16,15,15,1,42,0,2,3,6,2,0,.234
17,2018-04-06,TOR,71,253,228,53,26,16,1,10,36,34,23,2,67,1,1,0,2,5,1,.232
18,2018-04-06,MIA,88,308,273,61,48,10,1,2,23,22,29,1,68,5,0,1,8,2,2,.223
19,2018-04-06,CHC,72,276,238,53,31,14,2,6,27,25,28,5,67,7,1,1,4,2,1,.223
20,2018-04-06,SDP,81,262,236,52,32,9,2,9,25,24,22,1,60,4,0,0,7,2,2,.220
21,2018-04-06,TEX,74,280,255,56,39,10,0,7,24,21,20,0,61,2,2,1,7,2,5,.220
22,2018-04-06,CIN,55,186,164,36,24,6,1,5,15,13,18,0,47,2,1,1,4,1,0,.220
23,2018-04-06,NYY,66,262,228,50,23,14,1,12,37,36,31,0,64,2,0,1,7,1,1,.219
24,2018-04-06,LAD,77,265,238,48,35,9,1,3,22,19,20,1,60,1,3,3,6,2,1,.202
25,2018-04-06,BAL,70,261,236,47,29,11,1,6,19,18,22,2,75,1,1,1,3,4,0,.199
26,2018-04-06,KCR,38,142,127,25,17,5,2,1,12,11,10,0,14,2,3,0,2,1,1,.197
27,2018-04-06,TBR,73,256,229,43,32,7,1,3,17,17,24,0,67,0,2,1,5,1,0,.188
28,2018-04-06,PHI,65,228,194,36,22,9,1,4,19,18,29,2,65,1,2,1,4,10,2,.186
29,2018-04-06,CLE,63,234,205,33,21,4,0,8,21,20,25,2,58,3,0,0,4,6,0,.161
0,2018-04-07,ATL,83,292,248,74,45,19,2,8,56,53,31,4,51,4,3,6,4,3,1,.298
1,2018-04-07,PIT,73,289,248,70,42,18,3,7,49,44,34,2,45,2,3,1,3,5,4,.282
2,2018-04-07,LAA,79,328,304,83,50,18,2,13,51,46,18,2,53,5,1,0,5,2,0,.273
3,2018-04-07,CHW,59,241,210,57,31,10,2,14,36,36,22,0,62,8,1,0,9,5,0,.271
4,2018-04-07,SEA,63,222,199,54,39,10,0,5,21,21,19,1,43,1,1,2,7,4,0,.271
5,2018-04-07,OAK,85,347,308,83,57,15,1,10,36,34,30,1,76,5,4,0,6,2,1,.269
6,2018-04-07,NYM,69,226,189,50,34,9,1,6,30,28,28,1,46,6,1,2,5,1,2,.265
7,2018-04-07,HOU,78,308,265,70,42,18,2,8,42,42,32,0,78,4,6,1,5,4,1,.264
8,2018-04-07,ARI,80,286,244,63,38,15,5,5,38,38,36,2,63,2,2,2,5,5,1,.258
9,2018-04-07,MIL,97,315,288,74,50,16,0,8,31,31,21,1,73,3,1,2,7,7,2,.257
10,2018-04-07,DET,57,252,227,58,36,17,3,2,31,30,23,2,43,0,2,0,5,1,2,.256
11,2018-04-07,WSN,79,288,241,59,36,11,0,12,38,37,39,3,58,5,3,0,3,7,1,.245
12,2018-04-07,CIN,67,226,201,49,36,7,1,5,18,16,21,0,53,2,1,1,6,1,0,.244
13,2018-04-07,MIN,64,233,212,51,26,13,0,12,30,27,19,0,59,1,1,0,5,4,0,.241
14,2018-04-07,BOS,69,287,258,62,38,19,1,4,24,23,25,4,47,3,0,1,5,6,3,.240
15,2018-04-07,SDP,90,304,274,65,40,14,2,9,29,27,25,1,71,5,0,0,7,2,3,.237
16,2018-04-07,TOR,80,296,262,62,32,17,1,12,44,41,29,2,74,2,3,0,2,5,1,.237
17,2018-04-07,TEX,84,319,293,69,48,13,0,8,29,26,21,0,69,2,2,1,8,2,5,.235
18,2018-04-07,STL,77,265,238,56,37,7,0,12,30,29,22,0,72,3,2,0,5,4,2,.235
19,2018-04-07,SFG,67,217,197,46,32,6,0,8,16,15,15,1,42,0,2,3,6,2,0,.234
20,2018-04-07,COL,89,303,270,63,38,12,1,12,34,34,30,2,72,0,1,2,4,5,1,.233
21,2018-04-07,MIA,88,308,273,61,48,10,1,2,23,22,29,1,68,5,0,1,8,2,2,.223
22,2018-04-07,CHC,83,315,272,60,36,15,3,6,31,28,32,6,76,8,1,1,4,3,1,.221
23,2018-04-07,NYY,77,315,275,57,28,15,1,13,40,39,36,1,74,3,0,1,8,3,1,.207
24,2018-04-07,KCR,47,177,158,32,23,6,2,1,14,13,13,1,23,2,3,1,4,1,1,.203
