,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-03-30,MIA,4.0,24,4.5,9.0,0.5,4.5,8.3%,16.7%,-8.3%,.353,2.50,.308,78.4%,13.91,9.89
1,2018-03-30,ATL,5.2,23,4.8,4.8,1.0,1.6,13.0%,13.0%,0.0%,.211,1.24,.200,60.6%,6.51,6.84
2,2018-03-30,STL,4.1,24,10.4,12.5,0.8,0.0,20.8%,25.0%,-4.2%,.235,2.31,.333,54.5%,5.70,6.84
3,2018-03-30,OAK,5.0,22,1.8,0.0,1.0,5.4,4.5%,0.0%,4.5%,.318,1.40,.222,71.4%,10.56,6.72
4,2018-03-30,CHW,6.0,25,0.0,1.5,0.0,1.5,0.0%,4.0%,-4.0%,.217,1.00,.182,53.6%,6.33,6.64
5,2018-03-30,CHC,3.1,20,5.4,8.1,0.7,0.0,10.0%,15.0%,-5.0%,.412,3.00,.467,60.0%,4.66,5.65
6,2018-03-30,LAA,5.0,24,7.2,5.4,1.3,3.6,16.7%,12.5%,4.2%,.333,2.00,.333,83.3%,8.56,5.01
7,2018-03-30,HOU,6.0,23,7.5,3.0,2.5,0.0,21.7%,8.7%,13.0%,.200,1.00,.267,100.0%,2.99,4.92
8,2018-03-30,PHI,5.1,20,5.1,1.7,3.0,0.0,15.0%,5.0%,10.0%,.158,0.75,.188,75.0%,2.60,4.77
9,2018-03-30,COL,4.0,21,9.0,6.8,1.3,0.0,19.1%,14.3%,4.8%,.333,2.25,.429,66.7%,3.41,4.65
10,2018-03-30,MIL,6.0,22,9.0,4.5,2.0,0.0,27.3%,13.6%,13.6%,.053,0.67,.077,100.0%,2.66,4.59
11,2018-03-30,SFG,5.0,19,5.4,5.4,1.0,0.0,15.8%,15.8%,0.0%,.188,1.20,.231,100.0%,3.76,4.42
12,2018-03-30,SEA,5.1,20,6.8,3.4,2.0,0.0,20.0%,10.0%,10.0%,.118,0.75,.143,100.0%,2.79,4.33
13,2018-03-30,TEX,5.2,24,11.1,6.4,1.8,3.2,29.2%,16.7%,12.5%,.263,1.59,.273,96.8%,7.40,4.27
14,2018-03-30,KCR,4.0,20,11.3,4.5,2.5,6.8,25.0%,10.0%,15.0%,.389,2.25,.400,83.3%,11.91,4.23
15,2018-03-30,BAL,7.0,26,9.0,1.3,7.0,0.0,26.9%,3.9%,23.1%,.200,0.86,.278,100.0%,1.59,3.95
16,2018-03-30,MIN,6.0,22,10.5,3.0,3.5,0.0,31.8%,9.1%,22.7%,.100,0.67,.154,100.0%,1.83,3.48
17,2018-03-30,LAD,6.0,27,10.5,3.0,3.5,1.5,25.9%,7.4%,18.5%,.320,1.67,.412,100.0%,3.99,3.48
18,2018-03-30,TOR,4.2,20,9.6,1.9,5.0,1.9,25.0%,5.0%,20.0%,.211,1.07,.231,55.6%,4.45,3.43
19,2018-03-30,SDP,7.0,26,5.1,1.3,4.0,0.0,15.4%,3.9%,11.5%,.240,1.00,.286,85.7%,2.45,3.39
20,2018-03-30,TBR,6.0,24,9.0,1.5,6.0,1.5,25.0%,4.2%,20.8%,.261,1.17,.313,53.6%,3.83,3.31
21,2018-03-30,NYY,5.2,21,11.1,4.8,2.3,0.0,33.3%,14.3%,19.1%,.056,0.71,.091,100.0%,2.28,3.15
22,2018-03-30,BOS,6.0,22,13.5,4.5,3.0,0.0,40.9%,13.6%,27.3%,.053,0.67,.100,100.0%,1.66,2.76
23,2018-03-30,CLE,8.0,29,9.0,1.1,8.0,1.1,27.6%,3.5%,24.1%,.214,0.88,.263,89.3%,3.16,2.16
24,2018-03-30,ARI,5.2,24,12.7,1.6,8.0,3.2,33.3%,4.2%,29.2%,.318,1.41,.385,100.0%,5.46,1.74
25,2018-03-30,NYM,6.0,24,15.0,0.0,10.0,3.0,41.7%,0.0%,41.7%,.250,1.00,.333,62.5%,4.16,1.20
0,2018-03-31,STL,4.1,24,10.4,12.5,0.8,0.0,20.8%,25.0%,-4.2%,.235,2.31,.333,54.5%,5.70,6.84
1,2018-03-31,MIA,9.1,47,9.6,6.8,1.4,2.9,21.3%,14.9%,6.4%,.270,1.82,.292,88.6%,8.41,6.71
2,2018-03-31,CHW,6.0,25,0.0,1.5,0.0,1.5,0.0%,4.0%,-4.0%,.217,1.00,.182,53.6%,6.33,6.64
3,2018-03-31,CIN,6.0,25,4.5,4.5,1.0,0.0,12.0%,12.0%,0.0%,.182,1.17,.210,85.7%,3.66,6.41
4,2018-03-31,COL,6.1,37,9.9,9.9,1.0,1.4,18.9%,18.9%,0.0%,.367,2.84,.455,48.2%,6.32,5.83
5,2018-03-31,PIT,5.0,24,7.2,5.4,1.3,0.0,16.7%,12.5%,4.2%,.286,1.80,.353,77.8%,3.36,5.67
6,2018-03-31,MIL,9.1,42,6.8,4.8,1.4,1.9,16.7%,11.9%,4.8%,.222,1.39,.222,89.3%,6.38,5.54
7,2018-03-31,ATL,10.2,45,8.4,3.4,2.5,2.5,22.2%,8.9%,13.3%,.237,1.22,.222,71.4%,6.35,5.17
8,2018-03-31,TOR,10.1,47,6.1,4.4,1.4,0.9,14.9%,10.6%,4.3%,.286,1.65,.324,64.1%,4.52,5.02
9,2018-03-31,CHC,9.1,45,6.8,5.8,1.2,0.0,15.6%,13.3%,2.2%,.289,1.82,.355,72.2%,3.91,4.97
10,2018-03-31,PHI,9.1,38,5.8,2.9,2.0,0.0,15.8%,7.9%,7.9%,.250,1.18,.286,66.7%,3.16,4.75
11,2018-03-31,TBR,11.2,45,6.2,2.3,2.7,0.8,17.8%,6.7%,11.1%,.214,1.03,.242,75.5%,3.68,4.68
12,2018-03-31,OAK,12.2,48,5.7,0.0,8.0,2.8,16.7%,0.0%,16.7%,.229,0.87,.194,92.6%,6.00,4.64
13,2018-03-31,TEX,10.2,44,8.4,5.9,1.4,1.7,22.7%,15.9%,6.8%,.250,1.50,.280,90.9%,5.69,4.49
14,2018-03-31,SFG,12.0,40,5.3,2.3,2.3,0.0,17.5%,7.5%,10.0%,.108,0.58,.133,100.0%,2.74,4.40
15,2018-03-31,LAA,11.1,47,7.1,2.4,3.0,1.6,19.1%,6.4%,12.8%,.233,1.15,.250,89.3%,4.93,4.38
16,2018-03-31,SEA,5.1,20,6.8,3.4,2.0,0.0,20.0%,10.0%,10.0%,.118,0.75,.143,100.0%,2.79,4.33
17,2018-03-31,SDP,11.2,48,3.9,0.8,5.0,0.0,10.4%,2.1%,8.3%,.289,1.20,.309,71.4%,2.56,4.26
18,2018-03-31,KCR,4.0,20,11.3,4.5,2.5,6.8,25.0%,10.0%,15.0%,.389,2.25,.400,83.3%,11.91,4.23
19,2018-03-31,HOU,12.0,48,6.8,2.3,3.0,0.8,18.8%,6.3%,12.5%,.262,1.17,.294,88.2%,3.74,4.18
20,2018-03-31,BAL,7.0,26,9.0,1.3,7.0,0.0,26.9%,3.9%,23.1%,.200,0.86,.278,100.0%,1.59,3.95
21,2018-03-31,MIN,6.0,22,10.5,3.0,3.5,0.0,31.8%,9.1%,22.7%,.100,0.67,.154,100.0%,1.83,3.48
22,2018-03-31,BOS,13.0,46,9.7,2.1,4.7,0.0,30.4%,6.5%,23.9%,.116,0.62,.172,100.0%,1.70,3.48
23,2018-03-31,DET,6.0,24,12.0,1.5,8.0,0.0,33.3%,4.2%,29.2%,.261,1.17,.400,42.9%,0.99,3.47
24,2018-03-31,LAD,14.0,55,7.7,1.3,6.0,0.6,21.8%,3.6%,18.2%,.173,0.79,.200,100.0%,2.80,3.41
25,2018-03-31,NYY,11.2,42,11.6,2.3,5.0,0.8,35.7%,7.1%,28.6%,.103,0.60,.130,100.0%,2.48,3.06
26,2018-03-31,ARI,10.2,49,13.5,3.4,4.0,4.2,32.6%,8.2%,24.5%,.318,1.69,.375,81.8%,7.38,2.83
27,2018-03-31,CLE,8.0,29,9.0,1.1,8.0,1.1,27.6%,3.5%,24.1%,.214,0.88,.263,89.3%,3.16,2.16
28,2018-03-31,WSN,6.0,24,15.0,1.5,10.0,0.0,41.7%,4.2%,37.5%,.217,1.00,.385,100.0%,0.33,1.98
29,2018-03-31,NYM,6.0,24,15.0,0.0,10.0,3.0,41.7%,0.0%,41.7%,.250,1.00,.333,62.5%,4.16,1.20
0,2018-04-01,CHW,12.0,51,0.8,3.8,0.2,0.8,2.0%,9.8%,-7.8%,.209,1.17,.191,61.6%,5.83,7.22
1,2018-04-01,STL,9.0,46,7.0,8.0,0.9,2.0,15.2%,17.4%,-2.2%,.250,1.89,.259,61.7%,7.83,6.77
2,2018-04-01,SEA,10.0,44,7.2,5.4,1.3,1.8,18.2%,13.6%,4.5%,.216,1.40,.214,71.4%,5.96,5.84
3,2018-04-01,TOR,17.1,74,4.7,4.2,1.1,1.6,12.2%,10.8%,1.4%,.242,1.38,.241,70.7%,5.76,5.70
4,2018-04-01,PIT,5.0,24,7.2,5.4,1.3,0.0,16.7%,12.5%,4.2%,.286,1.80,.353,77.8%,3.36,5.67
5,2018-04-01,COL,11.1,59,8.7,8.7,1.0,0.8,18.6%,18.6%,0.0%,.313,2.29,.389,61.0%,5.28,5.44
6,2018-04-01,MIA,14.1,69,10.0,5.7,1.8,2.5,23.2%,13.0%,10.1%,.286,1.74,.324,75.9%,7.07,5.40
7,2018-04-01,MIL,14.1,62,6.9,3.8,1.8,1.9,17.7%,9.7%,8.1%,.236,1.33,.244,82.3%,5.81,5.28
8,2018-04-01,CHC,13.2,66,7.2,5.3,1.4,0.7,16.7%,12.1%,4.5%,.291,1.76,.349,66.4%,4.92,5.17
9,2018-04-01,CIN,11.0,47,7.4,3.3,2.3,1.6,19.1%,8.5%,10.6%,.244,1.27,.250,62.5%,4.98,5.02
10,2018-04-01,SFG,17.0,61,5.8,3.2,1.8,0.0,18.0%,9.8%,8.2%,.132,0.76,.159,61.5%,2.93,4.87
11,2018-04-01,ATL,16.0,69,8.4,3.9,2.1,1.7,21.7%,10.1%,11.6%,.259,1.38,.279,74.5%,5.22,4.85
12,2018-04-01,TBR,15.0,58,5.4,2.4,2.3,1.2,15.5%,6.9%,8.6%,.222,1.07,.233,75.8%,4.49,4.74
13,2018-04-01,LAA,17.0,71,6.9,3.7,1.9,1.1,18.3%,9.9%,8.5%,.222,1.24,.250,78.1%,4.57,4.60
14,2018-04-01,PHI,12.0,58,7.5,3.8,2.0,0.0,17.2%,8.6%,8.6%,.354,1.83,.405,52.2%,2.99,4.51
15,2018-04-01,OAK,18.1,75,6.4,0.5,13.0,2.0,17.3%,1.3%,16.0%,.243,1.04,.246,52.2%,4.74,4.43
16,2018-04-01,MIN,12.0,45,9.8,5.3,1.9,0.0,28.9%,15.6%,13.3%,.053,0.75,.080,100.0%,2.74,4.40
