,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-04-06,SEA,32.1,140,6.1,4.2,1.5,2.5,15.7%,10.7%,5.0%,.232,1.36,.213,73.3%,6.81,5.39
1,2018-04-06,CHC,31.2,142,6.5,5.4,1.2,0.3,16.2%,13.4%,2.8%,.244,1.52,.295,69.2%,4.30,5.30
2,2018-04-06,CHW,33.0,142,4.6,3.0,1.5,1.1,12.0%,7.8%,4.2%,.240,1.27,.250,62.5%,4.89,5.16
3,2018-04-06,CIN,27.2,118,6.5,4.2,1.5,1.6,17.0%,11.0%,5.9%,.211,1.27,.215,72.4%,5.58,5.14
4,2018-04-06,DET,34.0,134,5.6,1.9,3.0,0.5,15.7%,5.2%,10.4%,.254,1.15,.291,64.5%,3.40,5.06
5,2018-04-06,MIN,33.2,141,7.2,4.8,1.5,0.5,19.1%,12.8%,6.4%,.163,1.13,.192,79.5%,3.93,5.03
6,2018-04-06,SFG,32.2,131,5.0,2.8,1.8,0.0,13.7%,7.6%,6.1%,.250,1.22,.294,63.4%,3.07,4.79
7,2018-04-06,MIA,34.2,159,8.8,4.7,1.9,1.3,21.4%,11.3%,10.1%,.263,1.56,.316,74.5%,4.98,4.77
8,2018-04-06,ATL,28.0,129,10.0,5.1,1.9,2.3,24.0%,12.4%,11.6%,.270,1.64,.315,70.7%,6.13,4.64
9,2018-04-06,BAL,37.0,159,8.8,3.6,2.4,2.2,22.6%,9.4%,13.2%,.252,1.38,.276,78.7%,5.67,4.61
10,2018-04-06,STL,36.2,166,9.1,4.4,2.1,1.2,22.3%,10.8%,11.5%,.241,1.45,.291,77.5%,4.63,4.57
11,2018-04-06,OAK,45.2,185,5.3,1.6,3.4,1.0,14.6%,4.3%,10.3%,.250,1.14,.271,58.7%,3.99,4.52
12,2018-04-06,PIT,32.1,132,7.0,3.6,1.9,0.8,18.9%,9.8%,9.1%,.218,1.21,.253,71.8%,4.03,4.51
13,2018-04-06,COL,34.2,154,8.3,4.4,1.9,1.0,20.8%,11.0%,9.7%,.244,1.44,.293,75.4%,4.46,4.39
14,2018-04-06,MIL,34.2,160,8.3,2.9,2.9,2.1,20.0%,6.9%,13.1%,.301,1.59,.340,62.0%,5.53,4.38
15,2018-04-06,TBR,32.1,136,7.8,3.6,2.2,1.4,20.6%,9.6%,11.0%,.238,1.30,.270,75.0%,4.74,4.36
16,2018-04-06,CLE,34.0,141,8.2,2.4,3.4,2.1,22.0%,6.4%,15.6%,.252,1.24,.272,75.5%,5.28,4.36
17,2018-04-06,KCR,22.0,94,7.8,3.3,2.4,1.2,20.2%,8.5%,11.7%,.244,1.32,.281,72.6%,4.30,4.33
18,2018-04-06,SDP,36.2,163,6.6,4.2,1.6,0.2,16.6%,10.4%,6.1%,.288,1.61,.347,64.2%,3.43,4.30
19,2018-04-06,TEX,39.1,175,9.6,3.4,2.8,1.1,24.0%,8.6%,15.4%,.299,1.58,.382,77.6%,4.05,4.29
20,2018-04-06,LAA,38.0,158,8.5,3.8,2.3,1.7,22.8%,10.1%,12.7%,.200,1.16,.216,74.6%,5.08,4.21
21,2018-04-06,PHI,28.1,126,8.9,3.2,2.8,0.3,22.2%,7.9%,14.3%,.277,1.45,.361,68.8%,3.13,4.12
22,2018-04-06,TOR,39.2,167,9.1,3.6,2.5,1.8,23.9%,9.6%,14.4%,.245,1.31,.283,75.9%,5.28,4.11
23,2018-04-06,BOS,42.0,161,8.4,2.1,3.9,0.4,24.2%,6.2%,18.0%,.199,0.95,.255,96.8%,2.64,4.02
24,2018-04-06,WSN,40.0,175,10.6,2.5,4.3,1.4,26.9%,6.3%,20.6%,.264,1.35,.336,66.5%,3.66,3.65
25,2018-04-06,LAD,40.2,168,8.9,2.7,3.3,0.7,23.8%,7.1%,16.7%,.218,1.13,.274,88.5%,3.04,3.50
26,2018-04-06,HOU,41.0,167,10.5,3.1,3.4,1.1,28.7%,8.4%,20.4%,.205,1.10,.265,87.5%,3.58,3.40
27,2018-04-06,NYM,30.2,124,11.2,2.9,3.8,1.2,30.6%,8.1%,22.6%,.202,1.08,.264,76.6%,3.36,3.12
