,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,source,qp_match,fit,hand,qp,concat
0,329,901,V,CUB,JLESTER-L,3,1,0,1,0,0,3,0,0,8,-175,-200.0,-1.5(-125),8.0,-105,8.0,-120,JLESTER,JLester,100.0,L,Jon Lester,329901JLESTER-L
1,329,902,H,MIA,JURENA-R,1,0,3,0,0,0,0,0,0,4,155,175.0,+1.5(+105),8.0,-115,8.0,100,JURENA,JUrena,100.0,R,Jose Urena,329902JURENA-R
2,329,903,V,STL,CMARTINEZ-R,0,2,0,1,0,1,0,0,0,4,110,123.0,+1.5(-185),7.0,-106,6.5,-125,CMARTINEZ,CMartinez,100.0,R,Carlos Martinez,329903CMARTINEZ-R
3,329,904,H,NYM,NSYNDERGAARD-R,1,2,0,0,5,0,0,1,x,9,-125,-138.0,-1.5(+160),7.0,-114,6.5,105,NSYNDERGAARD,NSyndergaard,100.0,R,Noah Syndergaard,329904NSYNDERGAARD-R
4,329,907,V,PHI,ANOLA-R,1,0,0,0,0,4,0,0,0,5,-125,-131.0,-1.5(+125),8.0,-110,8.0,-119,ANOLA,ANola,100.0,R,Aaron Nola,329907ANOLA-R
5,329,908,H,ATL,JTEHERAN-R,0,0,0,0,0,2,0,3,3,8,110,116.0,+1.5(-145),8.0,-110,8.0,-101,JTEHERAN,JTeheran,100.0,R,Julio Teheran,329908JTEHERAN-R
6,329,909,V,MIL,CANDERSON-R,0,0,1,0,0,0,0,0,0,2,-115,-131.0,-1.5(+130),8.0,-110,8.0,-115,CANDERSON,CAnderson,100.0,R,Chase Anderson,329909CANDERSON-R
7,329,910,H,SDG,CRICHARD-L,0,0,0,0,0,0,0,0,1,1,105,116.0,+1.5(-150),8.0,-110,8.0,-105,CRICHARD,CRichard,100.0,L,Clayton Richard,329910CRICHARD-L
8,329,911,V,SFO,TBLACH-L,0,0,0,0,1,0,0,0,0,1,260,266.0,+1.5(+125),7.0,100,7.5,-116,TBLACH,TBlach,100.0,L,Ty Blach,329911TBLACH-L
9,329,912,H,LAD,CKERSHAW-L,0,0,0,0,0,0,0,0,0,0,-300,-306.0,-1.5(-145),7.0,-120,7.5,-104,CKERSHAW,CKershaw,100.0,L,Clayton Kershaw,329912CKERSHAW-L
10,329,913,V,COL,JGRAY-R,1,0,0,0,0,1,0,0,0,2,-115,-101.0,+1.5(-211),9.0,-119,8.0,-118,JGRAY,JGray,100.0,R,Jon Gray,329913JGRAY-R
11,329,914,H,ARI,PCORBIN-L,3,0,0,0,0,3,2,0,x,8,105,-109.0,-1.5(+177),9.0,-101,8.0,-102,PCORBIN,PCorbin,100.0,L,Patrick Corbin,329914PCORBIN-L
12,329,915,V,MIN,JODORIZZI-R,0,0,0,0,0,0,0,0,2,2,110,112.0,+1.5(-185),9.5,-101,9.5,-105,JODORIZZI,JOdorizzi,100.0,R,Jake Odorizzi,329915JODORIZZI-R
