,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
0,2018-05-02,OAK,11.0,55,9.0,7.4,1.2,3.3,20.0%,16.4%,3.6%,.310,2.00,.300,63.2%,8.62,6.14
1,2018-05-02,SDP,14.1,71,5.7,5.0,1.1,1.9,12.7%,11.3%,1.4%,.311,1.88,.320,58.8%,6.51,6.09
2,2018-05-02,ARI,17.0,73,5.3,5.8,0.9,1.6,13.7%,15.1%,-1.4%,.167,1.24,.146,89.9%,6.40,6.05
3,2018-05-02,STL,9.2,47,6.5,4.7,1.4,0.0,14.9%,10.6%,4.3%,.263,1.55,.303,76.5%,3.89,5.76
4,2018-05-02,LAD,14.0,74,10.3,7.7,1.3,2.6,21.6%,16.2%,5.4%,.311,2.21,.366,68.2%,7.38,5.55
5,2018-05-02,CHW,9.2,50,8.4,6.5,1.3,1.9,18.0%,14.0%,4.0%,.375,2.28,.419,84.2%,6.47,5.49
6,2018-05-02,SFG,19.2,91,5.5,3.2,1.7,0.5,13.2%,7.7%,5.5%,.300,1.58,.338,61.4%,4.13,5.15
7,2018-05-02,PHI,16.2,72,8.1,3.8,2.1,0.5,20.8%,9.7%,11.1%,.250,1.38,.313,75.2%,3.58,4.98
8,2018-05-02,MIN,18.0,82,8.0,5.0,1.6,1.0,19.5%,12.2%,7.3%,.254,1.56,.296,71.4%,4.49,4.98
9,2018-05-02,KCR,20.1,90,5.3,2.7,2.0,0.9,13.3%,6.7%,6.7%,.268,1.38,.294,66.2%,4.44,4.79
10,2018-05-02,CLE,16.2,84,9.7,3.2,3.0,3.8,21.4%,7.1%,14.3%,.320,1.80,.333,58.6%,7.90,4.72
11,2018-05-02,WSN,11.1,48,8.7,3.2,2.8,0.8,22.9%,8.3%,14.6%,.250,1.32,.313,80.9%,3.43,4.61
12,2018-05-02,NYM,11.1,50,7.9,0.8,10.0,0.0,20.0%,2.0%,18.0%,.292,1.32,.368,81.3%,1.93,4.40
13,2018-05-02,COL,6.0,25,10.5,6.0,1.8,1.5,28.0%,16.0%,12.0%,.150,1.17,.154,89.3%,4.99,4.20
14,2018-05-02,TBR,14.2,68,10.4,3.7,2.8,0.6,25.0%,8.8%,16.2%,.241,1.36,.317,64.8%,3.57,4.15
15,2018-05-02,DET,13.1,57,11.5,4.7,2.4,2.0,29.8%,12.3%,17.5%,.204,1.27,.241,79.7%,5.34,4.02
16,2018-05-02,BAL,10.2,47,11.8,2.5,4.7,0.8,29.8%,6.4%,23.4%,.273,1.41,.379,73.5%,2.60,4.01
17,2018-05-02,TEX,14.1,65,6.9,2.5,2.8,1.3,16.9%,6.2%,10.8%,.345,1.67,.383,54.0%,4.49,3.82
18,2018-05-02,PIT,10.1,46,8.7,3.5,2.5,0.0,21.7%,8.7%,13.0%,.262,1.45,.344,60.0%,2.39,3.67
19,2018-05-02,LAA,13.2,57,9.2,2.0,4.7,0.0,24.6%,5.3%,19.3%,.241,1.17,.325,75.0%,1.77,3.34
20,2018-05-02,SEA,9.0,36,15.0,5.0,3.0,0.0,41.7%,13.9%,27.8%,.100,0.89,.200,77.8%,1.83,3.11
21,2018-05-02,TOR,14.0,53,10.3,1.3,8.0,0.6,30.2%,3.8%,26.4%,.216,0.93,.294,86.2%,2.23,3.07
22,2018-05-02,BOS,15.2,76,10.9,1.1,9.5,2.3,25.0%,2.6%,22.4%,.375,1.85,.451,72.7%,4.44,2.91
23,2018-05-02,ATL,9.2,39,14.9,5.6,2.7,0.0,41.0%,15.4%,25.6%,.152,1.14,.294,90.9%,1.71,2.91
24,2018-05-02,NYY,15.0,59,12.0,2.4,5.0,0.0,33.9%,6.8%,27.1%,.236,1.13,.371,100.0%,1.29,2.84
25,2018-05-02,MIA,14.2,58,11.7,2.5,4.8,0.0,32.8%,6.9%,25.9%,.137,0.75,.219,100.0%,2.00,2.79
26,2018-05-02,HOU,6.2,30,10.8,2.7,4.0,2.7,26.7%,6.7%,20.0%,.321,1.65,.389,73.2%,5.56,2.65
27,2018-05-02,CIN,14.0,59,9.6,3.2,3.0,0.6,25.4%,8.5%,17.0%,.241,1.29,.316,72.3%,3.02,2.56
28,2018-05-02,MIL,12.2,52,12.8,2.8,4.5,0.7,34.6%,7.7%,26.9%,.217,1.11,.310,71.4%,2.29,2.31
29,2018-05-02,CHC,8.2,29,11.4,2.1,5.5,0.0,37.9%,6.9%,31.0%,.074,0.46,.125,100.0%,1.31,1.89
0,2018-05-03,SDP,15.0,79,4.8,4.8,1.0,1.8,10.1%,10.1%,0.0%,.368,2.20,.373,60.4%,6.49,6.98
